Move	Command	Startup	Active	Recovery	Hit Advantage	CH hit adv.	Block Advantage	Total 	 Damage	Stun	Chip	CH Damage	CH Stun	Hitstop	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
flying barcelona attack(claw)	f,d,df+K, then P(must have claw)	3	6		KD	KD	-		90	150	23	108	180	15	M	-				
izuna drop	f,d,df+K, then LP+LK	4	5		KD	KD	-		150	150	-	180	180	-	T	-		12	12	
grand izuna drop LP	hcb+LP (claw off)	6	2	50	KD	KD	-	57	50*80	100*100	-	50*80	100*100	-	T	-	63	14	14	
grand izuna drop MP	hcb+MP (claw off)	6	2	50	KD	KD	-	57	50*90	100*100	-	50*90	100*100	-	T	-	63	14	14	
grand izuna drop HP	hcb+HP (claw off)	6	2	50	KD	KD	-	57	50*100	100*100	-	50*100	100*100	-	T	-	63	14	14	
grand izuna drop EX	hcb+PP (claw off)	6	2	50	KD	KD	-	57	80*100	100*150	-	80*100	100*150	-	T	-	68	19	19	
crimson terror LK	qcf+LK	8	2(17)5	12	1	1	-6	43	20*60	20*100	5*15	24*60	24*100	3*15	H*H	CA				
crimson terror MK	qcf+MK	17	2(10)2(20)5	14	2	2	-7	69	20*20*60	20*20*100	5*5*15	24*20*60	24-20*100	3*3*15	H*H*H	CA				
crimson terror HK	qcf+HK	19	4(12)3(10)3(22)5	16	KD	KD	-8	93	20x3*60	20x3*100	5x3*15	24*20*20*60	24*20*20*100	3x3*15	H	CA	89	30	35	
crimson terror EX	qcf+KK	16	5(14)3(8)3(8)3(18)5	10	KD	KD	-2	92	20x4*60	20x4*100	5x4*15	24*20x3*60	24*20x3*100	3x4*15	H	-	97	38	43	
aurora spin edge LP	qcb+LP	12	6	20	KD	KD	-7	37	100	200	25	120	240	16	H	CA	90	31	36	
aurora spin edge MP	qcb+MP	15	6	18	KD	KD	-6	38	100	200	25	120	240	16	H	CA	92	33	38	
aurora spin edge HP	qcb+HP	12	4	18	KD	KD	-4	33	100	200	25	120	240	16	H	CA	101	42	47	
aurora spin edge EX	qcb+PP	12	7(12)4	21	KD	KD	-3	55	50*100	100*100	13*25	120*100	120*100	16*16	H*H	-	86	27	32	
switch claw	qcf+P			23		-		23				-	-	-	-	-				
CLAW OFF CANCEL	qcf+P			22		-		22				-	-	-	-	-				
CLAW ON CANCEL	qcf+P			20		-		20				-	-	-	-	-				
bloody rain	qcf,qcf+P or qcb,qcb+P	9	8	29	KD	KD	-22		330	0	5	334	0	-	H	-	80	40	40	BLK ADV -14 LOL
health	1000																			
stun	950																			
taunt	61			61																
jump	47(4+39+4)	5	39	4				47												8LK EARLY WHIFF 45F
jump forward	46(3+39+4)	4	39	4				46												9LK EARLY WHIFF 44F
jump backward	47(4+39+4)	5	39	4				47												
jump EARLY WHIFF	45(4+37+4)	5	37	4				45												8LK EARLY WHIFF 45F
jump forward EARLY WHIFF	44(3+37+4)	4	37	4				44												9LK EARLY WHIFF 44F
EMPTY jump	47(4+39+0)	5	39					43												
EMPTY jump forward	46(3+39+0)	4	39					42												
EMPTY jump backward	47(4+39+0)	5	39					43												
dash forward	17		17					17												
dash backward	21	3	8	11				21												[FRAME 3-10] AIR CH
no claw normals...																				
NC stand LP		3	2	6	6	8	3	10	30	70	0	36	84	8	H	SP,V	-	-	-	
NC stand MP		7	3	15	4	6	1	24	60	100	10	72	120	12	H	V	-	-	-	
NC stand HP		9	2	21	4	6	-1	31	90	150	15	108	180	15	H	SP,V	-	-	-	
NC crouch LP		4	3	6	4	6	2	12	30	70	0	36	84	8	H	CH,SP,V	-	-	-	
NC crouch MP		6	3	14	4	6	2	22	60	100	10	72	120	12	H	SP,V	-	-	-	
NC crouch HP		9	4	15	1	KD	-2	27	80	150	13	96	180	15	H	SP,V	102	43	48	
NC jump LP		3	5	-	-	-	-	-	40	70	0	48	84	8	M	-	-	-	-	
NC jump MP		4	5	-	-	-	-	-	70	100	10	84	120	12	M	-	-	-	-	
NC jump HP		7	4	-	-	-	-	-	90	150	15	108	180	15	M	-	-	-	-	
