Move	Command	Startup	Active	Recovery	Hit Advantage	CH hit adv.	Block Advantage	Damage	Stun	CH Damage	CH Stun	Chip	Total 	Hitstop	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
bad skull	N or f+LP+LK	5	2	18	KD	KD	-	150	200	150	200	-		-	T	-	71	12	12	
bad chain	b+LP+LK	5	2	18	KD	-	-	75*75	100*100	75*75	100*100	-		-	T	-	74	15	15	
break time	MP+MK		-	52		-	-			-	-	-	52		-	-				
banana time	b+MP+MK	50	1	9	KD	KD	2	10	0	12	0	2	59	4	H	-	29	29	29	
drink time	d+MP+MK	50	1	11	KD	KD	10	10	0	12	0	2	61	4	H	-	28	28	28	
enjoy time	HP+HK	12	16	3	KD	-	-			-	-	-	30	-	-	-	106	47	52	
VT CANCEL	HP+HK	1	15	3	KD	-	-			-	-	-	18	-	-	-	106	47	52	
pepper pot	f+PPP in block	16	2	19	KD		-2	60	0						H		82	23	28	ANIM START 24F
bull head LP	qcf+LP	14	3	29	KD	KD	-10	100	200			30	45	15	H	CA,V	85	26	31	
bull head MP	qcf+MP	18	3	30	KD	KD	-10	110	200			33	50	15	H	CA,V	84	25	30	
bull head HP	qcf+HP	27	3	24	KD	KD	-5	120	200			35	53	15	H	CA,V	90	31	36	
bull head EX	qcf+PP	14	4(26)4	23	KD	KD	-2	75*75	100*150			20*20	70	-	H*H	V	90	31	36	
bull horn	hold any button, release	15	6	29	KD	KD	-18	120	200			30	49	15	H	CA,V	89	30	35	
bull horn FAR	hold any button, release	16	5	29	KD	KD	-17	120	200			30		15	H	CA,V	90	31	36	
bull horn EX	hold any 2 button, release	15	9(11)4	32	KD	KD	-19	75*75	50*200			19*19	70	12*14	H*H	V	88	29	34	
killing head LP	hcb+LP	5	2	52	KD	KD	-	20*160	40*160			-	58	3*15	T	-	82	23	23	
killing head MP	hcb+MP	5	2	52	KD	KD	-	20*20*150	40*40*140			-	58	3*3*15	T	-	82	23	23	
killing head HP	hcb+HP	5	2	52	KD	KD	-	20x3*140	40x3*120			-	58	3x3*15	T	-	82	23	23	
killing head EX	hcb+PP	5	2	52	KD	KD	-	10x6*160	30x6*90			-	58	0x6*18	T	-	82	23	23	
hanging chain LK CORNER	qcf+LK	25	16	24	KD	KD	-23	140	200			0		-	H	-	79	20	20	
hanging chain LK	qcf+LK	25	16	24	KD	KD	-23	140	200			0	64	-	H	-	80	21	21	
hanging chain LK FAR CORNER	qcf+LK	25	16	24	KD	KD	-23	140	200			0		-	H	-	82	23	23	
hanging chain LK FAR	qcf+LK	25	16	24	KD	KD	-23	140	200			0		-	H	-	84	25	25	U C https://youtu.be/xz56LWUBDIg
hanging chain MK	qcf+MK	25	16	24	KD	KD	-23	150	200			0	64	-	H	-	68	19	19	
hanging chain MK FAR	qcf+MK	25	16	24	KD	KD	-23	150	200			0		-	H	-	71	22	22	
hanging chain HK	qcf+HK	25	10	31	KD	KD	-	160	200			-	65	-	H	-	81	22	22	
hanging chain EX	qcf+KK	15	17	21	KD	KD	-21	70*100	100*100			0	52	-	H	-	78	29	29	
hanging chain cancel	hold K, press P	19	1	17	-	-	-	-	-			-	36	-	-	-	-			
bull revenger LK	hcb+LK	35	2	28	KD	KD	-	70*70*30	100*100*30			-	64	-	T	-	75	26	26	
bull revenger MK	hcb+MK	40	2	28	KD	KD	-	70*70*40	100*100*30			-	69	-	T	-	75	26	26	
bull revenger HK	hcb+HK	43	2	28	KD	KD	-	70*70*50	100*100*30			-	72	-	T	-	75	26	26	
bull revenger EX	hcb+KK	23	11	47	KD	KD	-	50*50*100	50*50*130			-	80	-	T	-	69	20	20	
skip to my chain	qcf,qcf+P	6	5	60	KD	KD	-30	50x3*190	0*0*0*0			50	70	-	H	-	36	36	36	ANIM 138F
health	1025																			
stun	1000																			
taunt	61												61							
jump	50(5*41*4)	46	1	4									50							EARLY WHIFF 50
jump forward	49(4*41*4)	45	1	4									49							EARLY WHIFF 49
jump backward	50(5*41*4)	46	1	4									50							EARLY WHIFF 50
dash forward	23			23									23							
dash backward	26			26									26							
V-TRIGGER																				
VT bull head LP	qcf+LP	10	2(1)4	29	KD	KD	-9	24*120	10*190				45		H	CA	84	25	30	
VT bull head MP	qcf+MP	15	2(2)2(2)4	29	KD	KD	-9	24*24*108	10*10*180				55		H	CA	84	25	30	
VT bull head HP	qcf+HP	22	2(1)2(1)2(3)4	23	KD	KD	-9	24x3*96	10x3*170				59		H	CA	90	31	36	
VT bull head EX	qcf+PP	8	1(2)3(1)3(2)4(20)2(3)4	23	KD	KD	-2	192	250				75		H	-	91	32	37	[FRAME 1-17] ARMOR
VT bull horn	hold any button, release	15	2(0)10	31	KD	KD	-12	78*78	100*100				57		H	CA	94	35	40	
VT bull horn EX	hold any 2 button, release	15	2(1)2(3)2(11)4	31	KD	KD	-17	24*24*66*66	10*10*80*150				70		H	-	89	30	35	[FRAME 1-39] ARMOR
VT killing head LP	hcb+LP	5	2	52	KD	KD	-	24*192	40*160				58		T	-				
VT killing head MP	hcb+MP	5	2	52	KD	KD	-	24*24*180	40*40*140						T	-				
VT killing head HP	hcb+HP	5	2	52	KD	KD	-	24x3*168	40x3*120						T	-				
VT killing head EX	hcb+PP	5	2	52	KD	KD	-	12x6*192	60x3*90						T	-				
VT hanging chain LK	qcf+LK	25	16	24	KD	KD	-23	168	200						H	-				
VT hanging chain MK	qcf+MK	25	16	24	KD	KD	-23	180	200						H	-				
VT hanging chain HK	qcf+HK	25	16	31	KD	KD	-	192	200						T	-				
VT hanging chain EX	qcf+KK	15	17	21	KD	KD	-21	84*120	100*120						H	-				
VT hanging chain cancel	hold K, press P	-	-	17	-	-	-	-	-						-	-				
VT bull revenger LK	hcb+LK	35	2	28	KD	KD	-	84*84*36	100*100*30						T	-				
VT bull revenger MK	hcb+MK	40	2	28	KD	KD	-	84*84*48	100*100*30						T	-				
VT bull revenger HK	hcb+HK	43	2	28	KD	KD	-	84*70*60	100*100*30						T	-				
VT bull revenger EX	hcb+KK	25	11	47	KD	KD	-	60*60*120	50*50*130						T	-				
VT skip to my chain	qcf,qcf+P	6	5	60	KD	KD	-30	60x3*228	0*0*0*0						H	-				
2HP BULLHORN					KD												91	32	37	
2HP VT BULLHORN					KD												97	38	43	
BULLHORN EX VTC BULLHEAD LP					KD												85	26	31	https://youtu.be/gHAZw8DIrRM
BULLHORN EX VTC BULLHEAD LP CORNER					KD												87	28	33	https://youtu.be/gHAZw8DIrRM
BULLHORN EX VTC BULLHEAD EX					KD												95	36	41	https://youtu.be/gHAZw8DIrRM
2HP BULLHORN EX VTC BULLHEAD EX					KD												93	34	39	VT ACTIVE LAST KD +1 https://youtu.be/7dzx173AeGA
