Move	Command	Command	Startup	Active	Recovery	Total	HIT ADV	CH ADV	BLK ADV	HIT GAP	CH GAP	BLK GAP	HIT DMG	HIT STUN	CH DMG	CH STUN	BLK DMG	EX-	EX+	VR-	VT-	HIT TYPE	HIT KDR	HIT KDBR	HIT KD	CH TYPE	CH KDR	CH KDBR	CH KD	NOTE	HIT EX1	HIT VR1	HIT EX2	HIT VR2	CH EX1	CH VR1	CH EX2	CH VR2	BLK EX1	BLK VR1	BLK EX2	BLK VR2
V-Skill	51. V_SKILL -> 895 V_SKILL	5VS	14	5	17	35	KD	KD	-5				60	100	72	120	10					HIT	33	38	92	CH	33	38	92			60	40	80		72	48	97		30	20	13
V-Skill	51. V_SKILL -> 895 V_SKILL	5VS.18F	22	5	17	43	KD	KD	-5				60	100	72	120	10					HIT	33	38	92	CH	33	38	92			60	40	80		72	48	97		30	20	13
V-Skill Hold	51. V_SKILL -> 895 V_SKILL -> 896 V_SKILL_HOLD	5VS.19F	21	5	18	43	KD	KD	-2				80	150	96	180	13					HIT	35	40	94	CH	35	40	94			100	40	107		120	48	129		50	20	17
V-Trigger	52. VT1_START -> 740 VT_01_RENSEI	5VT	5			5														600																						
stand LP VTC	0. 5LP -> 600 5LP	5LP 5 5VT	4	1	10	14	2	4	0				30	70	36	84	0			600		HIT				CH					20		12	40	24		15	48	10		6	
stand MP VTC	2. 5MP -> 601 5MP	5MP 5 5VT	5	1	10	15	8	10	5				60	100	72	120	10			600		HIT				CH					30		18	80	36		22	97	15		9	13
stand HP VTC	4. 5HP -> 602 5HP	5HP 5 5VT	7	2	10	18	13	15	9				80	150	96	180	13			600		HIT				CH					50		30	107	60		36	129	25		15	17
stand LK VTC	1. 5LK -> 603 5LK	5LK 5 5VT	4	1	10	14	4	6	2				40	70	48	84	0			600		HIT				CH					20		12	53	24		15	64	10		6	
stand MK VTC	3. 5MK -> 604 5MK	5MK 5 5VT	7	1	15	22	4	6	0				60	100	72	120	10			600		HIT				CH					30		18	80	36		22	97	15		9	13
stand HK VTC	5. 5HK -> 605 5HK	5HK 5 5VT	10	1	10	20	14	29	10				80	150	96	180	13			600		HIT				CH					50		30	107	60		36	129	25		15	17
crouch LP VTC	6. 2LP -> 612 2LP	2LP 5 5VT	3	1	11	14	1	3	0				20	70	24	84	0			600		HIT				CH					20		12	26	24		15	32	10		6	
crouch MP VTC	8. 2MP -> 613 2MP	2MP 5 5VT	5	1	10	15	9	11	5				60	100	72	120	10			600		HIT				CH					30		18	80	36		22	97	15		9	13
crouch HP VTC	10. 2HP -> 614 2HP	2HP 5 5VT	7	1	12	19	10	KD	6				90	150	108	180	15			600		HIT				CH	59	64	118		50		30	121	60		36	145	25		15	20
crouch LK VTC	7. 2LK -> 615 2LK	2LK 5 5VT	4	1	10	14	1	3	-1				30	70	36	84	0			600		HIT				CH					20		12	40	24		15	48	10		6	
crouch MK VTC	9. 2MK -> 616 2MK	2MK 5 5VT	6	1	11	17	3	5	0				50	100	60	120	8			600		HIT				CH					30		18	67	36		22	80	15		9	10
crouch HK VTC	11. 2HK -> 617 2HK	2HK 2F 5VT	9	1	7	16	KD	KD	4				90	150	108	180	15			600		HIT	36	41	85	CH	85	85	85		50		30	121	60		36	145	25		15	20
V-Skill VTC	51. V_SKILL -> 895 V_SKILL	5VS.18F 5 5VT	22	1(0)1	10	33	KD	KD	5				60	100	72	120	10			600		HIT	43	48	102	CH	43	48	102				40	80			48	97			20	13
V-Skill Hold VTC	51. V_SKILL -> 895 V_SKILL -> 896 V_SKILL_HOLD	5VS.19F 5 5VT	21	1(0)1	5	27	KD	KD	14				80	150	96	180	13			600		HIT	51	56	110	CH	51	56	110				40	107			48	129			20	17
Seppo LK	24. MURAKUMO_L -> 900 MURAKUMO_L	qcf+LK	24			24																																				
Seppo MK	25. MURAKUMO_M -> 901 MURAKUMO_M	qcf+MK	25			25	KD	KD	-10				70	100	84	120	18																									
Seppo HK	26. MURAKUMO_H -> 902 MURAKUMO_H	qcf+HK	26			26	KD	KD	-10				70	100	84	120	18																									
Tenko	26. MURAKUMO_H -> 902 MURAKUMO_H	qcf+HK 5LP	7	4	20	30	KD	KD	-10				70	100	84	120	18					HIT	46	51	105	CH	48	53	107		50		30	94	60		36	113	25		15	24
Tenko Late	26. MURAKUMO_H -> 902 MURAKUMO_H	qcf+HK 3F 5LP	13	3	21	36	KD	KD	-10				60	100	72	120	15					HIT	47	52	106	CH	50	55	109		40		24	80	48		29	97	20		12	20
Tenko Late Last	26. MURAKUMO_H -> 902 MURAKUMO_H	qcf+HK 13F 5LP	23	3	21	46	KD	KD	-10				60	100	72	120	15					HIT	47	52	106	CH	50	55	109		40		24	80	48		29	97	20		12	20
Orochi	26. MURAKUMO_H -> 902 MURAKUMO_H	qcf+HK 2LP	15	4	20	38	2	4	-2				80	150	96	180	20		10			HIT				CH					50		24	107	58		29	129	30		12	26
Orochi Last	26. MURAKUMO_H -> 902 MURAKUMO_H	qcf+HK 13F 2LP	25	4	20	48	2	4	-2				80	150	96	180	20		10			HIT				CH					50		24	107	58		29	129	30		12	26
Seppo KK	27. MURAKUMO_EX -> 903 MURAKUMO_EX	qcf+KKK	21			21	KD	KD	-7				120	150	144	180	30	300																								
Tenko KK	27. MURAKUMO_EX -> 903 MURAKUMO_EX	qcf+KKK 5LP	8	4	18	29	KD	KD	-7				120	150	144	180	30	300				HIT	48	53	107	CH	50	55	109				30	161			36	194			15	40
Tenko Late KK	27. MURAKUMO_EX -> 903 MURAKUMO_EX	qcf+KKK 3F 5LP	10	4	18	31	KD	KD	-7				120	150	144	180	30	300				HIT	48	53	107	CH	50	55	109				30	161			36	194			15	40
Tenko Late Last KK	27. MURAKUMO_EX -> 903 MURAKUMO_EX	qcf+KKK 16F 5LP	23	4	18	44	KD	KD	-7				120	150	144	180	30	300				HIT	48	53	107	CH	50	55	109				30	161			36	194			15	40
Orochi KK	27. MURAKUMO_EX -> 903 MURAKUMO_EX	qcf+KKK 2LP	14	4	27	44	KD	KD	-7				120	200	144	240	30	300				HIT	48	48	80	CH	51	51	83				24	161			29	194			12	40
Orochi Last KK	27. MURAKUMO_EX -> 903 MURAKUMO_EX	qcf+KKK 16F 2LP	29	4	27	59	KD	KD	-7				120	200	144	240	30	300				HIT	48	48	80	CH	51	51	83				24	161			29	194			12	40
Mujinkyaku LK	33. MUJIN_L -> 920 MUJINKYAKU_L	qcb+LK	11	3(6)3	19	41	2	2	-7				70	100	76	110	18		20			HIT				CH					50		18	94	54		21	102	35		9	24
Mujinkyaku MK	34. MUJIN_M -> 921 MUJINKYAKU_M	qcb+MK	11	3(6)3(26)2	23	73	2	4	-6	6	6	13	160	240	184	280	41		20			HIT				CH					70		30	215	78		36	248	45		15	55
Mujinkyaku HK	35. MUJIN_H -> 922 MUJINKYAKU_H	qcb+HK	13	3(7)3(18)3(9)3	31	89	KD	KD	-15				120	180	126	190	30		20			HIT	24	29	83	CH	24	29	83		90		42	161	94		45	170	55		21	40
Mujinkyaku KK	36. MUJIN_EX -> 923 MUJINKYAKU_EX	qcb+KKK	8	2(5)2(7)3(6)5	17	54	KD	KD	-2				150	200	153	200	24	300				HIT	15	20	79	CH	15	20	79				30	202			31	206			12	32
Ressenha LP	37. RESSENHA_L -> 935 RESSENHA_L	qcb+LP	16	2(8)3	19	47	2	2	-6				70	100	76	110	18		10			HIT				CH					70		36	94	74		39	102	40		18	24
Ressenha LP 2LK	37. RESSENHA_L -> 935 RESSENHA_L	qcb+LP 16F 2LK	16	2(8)3(17)8	20	73	KD	KD	-9			5	142	190	148	200	38		20			HIT	20	25	69	CH	20	25	69		125		66	191	129		69	199	75		33	51
Ressenha LP 8LK	37. RESSENHA_L -> 935 RESSENHA_L	qcb+LP 16F 8LK	16	2(8)3(25)2	22	77	KD	KD	-36	5	5		220	300	226	310	18		15			HIT	28	28	28	CH	28	28	28		125		66	296	129		69	305	45		18	24
Ressenha MP	38. RESSENHA_M -> 936 RESSENHA_M	qcb+MP	21	2(7)4	18	51	2	2	-5				80	150	88	160	20		10			HIT				CH					70		36	107	74		39	118	40		18	26
Ressenha MP 2LK	38. RESSENHA_M -> 936 RESSENHA_M	qcb+MP 21F 2LK	21	2(7)4(17)8	20	78	KD	KD	-9			5	152	240	160	250	40		20			HIT	20	25	69	CH	20	25	69		125		66	205	129		69	215	75		33	53
Ressenha MP 8LK	38. RESSENHA_M -> 936 RESSENHA_M	qcb+MP 21F 8LK	21	2(7)4(25)2	22	82	KD	KD	-36	6	6		230	350	238	360	20		15			HIT	28	28	28	CH	28	28	28		125		66	310	129		69	321	45		18	26
Ressenha HP	39. RESSENHA_H -> 937 RESSENHA_H	qcb+HP	26	2(8)3	17	55	1	1	-4				90	150	98	160	23		10			HIT				CH					70		36	121	74		39	132	40		18	31
Ressenha HP 2LK	39. RESSENHA_H -> 937 RESSENHA_H	qcb+HP 26F 2LK	26	2(8)3(17)8	20	83	KD	KD	-9			5	162	240	170	250	43		20			HIT	20	25	69	CH	20	25	69		125		66	218	129		69	229	75		33	58
Ressenha HP 8LK	39. RESSENHA_H -> 937 RESSENHA_H	qcb+HP 26F 8LK	26	2(8)3(25)2	22	87	KD	KD	-36	8	8		240	350	248	360	23		15			HIT	28	28	28	CH	28	28	28		125		66	323	129		69	334	45		18	31
Ressenha PP	40. RESSENHA_EX -> 938 RESSENHA_EX	qcb+PPP	5	2(6)2(5)2	35	56	KD	KD	-40				140	200	146	210	8	300				HIT	12	17	71	CH	12	17	71	LAND 1F NO MOVE			36	188			39	197			6	10
Guren	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP	12	4(5)4	19	43	-2	-2	-6				60	60	66	66	16		5		1800	HIT				CH					45		24	80	49		27	89	25		12	21
Guren 5LP	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 5LP	12	4(5)4(14)4	32	74	KD	KD	-9			2	159	168	165	174	44		10		1800	HIT	19	24	78	CH	19	24	78		95		54	214	99		57	222	55		27	59
Guren 2LP	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 2LP	12	4(5)4(17)5	17	63	2	4	1	1	1	5	120	130	138	150	31		10		1800	HIT				CH					80		42	161	90		49	186	45		21	41
Guren 2LP 2LK	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 2LP 21F 4F 2LK	12	4(5)4(17)5	17	63	KD	KD	-10	1	1	5	183	220	201	240	49		10		1800	HIT	19	24	68	CH	19	24	68		130		72	247	140		79	271	75		36	66
Guren 2LP 8LK	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 2LP 21F 4F 8LK	12	4(5)4(17)5	17	63	KD	KD	-24	1 3	1	5	270	330	138	150	31		10		1800	HIT	28	28	28	CH	-21	-21	-21		135		72	364	95		49	186	50		21	41
Guren 2LP 2LP	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 2LP 21F 4F 2LP	12	4(5)4(17)5	17	63	KD	KD	-11	1 1	1	5 2	190	230	201	240	49		10		1800	HIT	26	31	90	CH	26	31	90		120		60	256	127		67	271	70		30	66
Guren 8LP	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 8LP	12	4(5)4(17)2(8)3	19	73	4	4	-2	2	2	6	160	210	172	226	42		10		1800	HIT				CH					110		60	215	118		66	232	60		30	56
Guren 5LK	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 5LK	12	4(5)4	21	45	-4	-4	-8				60	60	66	66	16		5		1800	HIT				CH					45		24	80	49		27	89	25		12	21
Guren 2LK	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 2LK	12	4(5)4(14)8	21	67	KD	KD	-10			2	123	150	129	156	34		10		1800	HIT	19	24	68	CH	19	24	68		95		54	166	99		57	174	55		27	45
Guren 8LK	23. VT1_GUREN -> 743 VT1_GURENKEN	qcf+LP 12F 8LK	12	4(5)4(23)6	19	72	KD	KD	-35	7	7		210	260	216	266	16		10		1800	HIT	28	28	28	CH	28	28	28		100		54	283	104		57	291	30		12	21
Critical Art	50. CA_START -> 1200 CA_START	d f d f+LP	5	4(14)7(13)2	38	82	KD	KD	-18	39			340	0	344	0	45	900				HIT	2	2	2	CH	2	2	2				100	458			100	464				60
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcf+KKK 5LP 6 5 6 qcb+PPP	7	1(30)1(21)16(4)1(7)1(6)1	36	131	KD	KD	-40			18 28	290	395	304	415	56	600				HIT	12	17	71	CH	12	17	71		50		96	391	60		102	410	25		36	75
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcf+LK 5LP	7	1<15>(29)2<15>	22	60	KD	KD	-10			17	133	190	147	210	36					HIT	44	49	103	CH	45	50	104		95		60	179	105		66	198	50		30	48
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcf+LK 5LP qcb+PPP +X=5.35	7	1(29)2(26)2(6)1(6)1	36	116	KD	KD	-40			17 15	245	350	259	370	44	300				HIT	18	23	77	CH	20	25	79	LAND 1F NO MOVE	95		96	330	105		102	349	50		36	59
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcf+LK 5LP qcb+PPP +X=5.42	7	1(29)2(26)1(7)1(6)1	36	116	KD	KD	-40			17 15	245	350	259	370	44	300				HIT	20	25	79	CH	22	27	81	LAND 1F NO MOVE	95		96	330	105		102	349	50		36	59
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcf+LK 2LP	7	1(37)1	23	68	KD	KD	-2			25	142	235	156	255	38					HIT	31	36	90	CH	32	37	91		96		54	191	106		60	210	55		27	51
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP 5VS	7	1(36)14	17	65	KD	KD	-5			24	124	190	138	210	28					HIT	33	38	92	CH	36	41	95		50	54	70	167	60	54	76	186	25	30	35	37
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcb+LK	7	1(33)1(8)1	21	71	KD	KD	-7			21	133	190	147	210	36					HIT	42	47	101	CH	42	47	101		97		48	179	107		54	198	60		24	48
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcb+LK qcf+KKK 5LP	7	1(33)1(8)1(28)1	21	100	KD	KD	-7			21 15	229	310	243	330	66	300				HIT	49	54	108	CH	48	53	107		97		78	309	107		84	328	60		39	89
Combo Tenko	24. MURAKUMO_L -> 900 MURAKUMO_L -> COMBO	qcf+LK 5LP qcb+LK qcf+KKK 5LP qcf+KKK 2LP	7	1(33)1(8)1(28)1(34)1	30	144	KD	KD	-7			21 15 21	313	450	327	470	96	600				HIT	26	31	85	CH	25	30	84		97		102	422	107		108	441	60		51	129
Taunt	58. APPEAL -> 1500 APPEAL_01	5PPPKKK	61			61																																				
Health	58. APPEAL -> 1500 APPEAL_01	900																																								
Stun	58. APPEAL -> 1500 APPEAL_01	950																																								
