Move	Command	Startup	Active	Recovery	Total 	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	KD Adv.	KDR Adv.	KDRB Adv.	Note
VT crouch HP		7	2(10)2	14	34	2	2	-2						
VT crouch LK		3	3	7	12	4	6	-1						
VT crouch MK		6	2	14	21	4	6	-2						
VT crouch HK		8	4	23	34	KD	KD	-12			82	23	28	
VT tsuitotsuken 46MP	b or f+MP	7	3	11	20	4	6	0						
VT hakkei 4HP	b+HP	7	7	11	24	6	KD	2			100	41	46	
VT senenshu 3MK	df+MK	26	2	16	43	4	6	-2						
VT tenkukyaku 4HK	b+HK	8	5	13	25	2	4	0						
VT yokusenkyaku 6HK	f+HK	18	5	13	35	4	6	-2						
VT kakurakukyaku 3HK	df+HK	34	7	10	50	8	10	4						[CORNER] RYU STAND ADV +9/+11/+5
VT jump LP		3	5	-		-		-						
VT jump MP		6	4	-		-		-						
VT jump HP		6	4(2)4	-		-		-						
VT jump LK		4	7	-		-		-						
VT jump MK		6	5	-		-		-						
VT jump HK		7	5	-		-		-						
VT jump f+HK		9	6	-		-		-						
VT rankyaku VS	MP+MK	11	4	44	58	KD	KD	-24			71	12	17	[AIR] BLK ADV +0
VT rankyaku VS THROW	MP+MK THROW	11	4	44	58	KD	KD	-24			71	12	17	[AIR] BLK ADV +0
VT rankyaku VS WHIFF	MP+MK WHIFF	11	4	44	58	KD	KD	-22			73	14	19	[AIR] BLK ADV +0
VT kikoken LP	b,f+LP	13	1	33	46	0	2	-6						
VT kikoken MP	b,f+MP	11	1	34	45	-1	1	-5						
VT kikoken HP	b,f+HP	9	1	35	44	-2	0	-4						
VT kikoken EX	b,f+PP	11	1	27	38	4	4	1						
VT hyakuretsukyaku LK	qcf+LK	5	2(5)2(6)2(6)2	20	49	4	4	-8						
VT hyakuretsukyaku MK	qcf+MK	11	2(4)2(4)2(4)2(4)2	20	56	3	3	-9						
VT hyakuretsukyaku HK	qcf+HK	14	2(3)2(3)2(3)2(3)2(3)2	20	60	2	2	-10						
VT hyakuretsukyaku EX	qcf+KK	5	2(3)2(3)2(3)2(3)2(3)2(11)2(3)2(3)2(3)2	19	78	KD	KD	-2			91	32	37	
VT air hyakuretsukyaku LK	qcf+LK(air) (4+8+8)	20	2(5)2(3)2(5)2	14	54	3	3	-2						
VT air hyakuretsukyaku MK	qcf+MK(air) (4+6+10)	20	2(2)2(4)2(4)2(2)2	13	54	3	3	-2						
VT air hyakuretsukyaku HK	qcf+HK(air) (4+5+12)	21	2(4)2(3)2(4)2(2)2(2)2	17	64	0	0	-3						
VT air hyakuretsukyaku EX	qcf+KK(air) (4+4+6)	14	2(2)2(1)2(3)2(1)2(2)2(3)2	24	63	-7	-7	-10						
VT AIR LEG LK LOW 9J	UF qcf+LK(air) (3+8+8)	19	2(5)2(3)2(5)2	14	53	3	3	-2						
VT AIR LEG MK LOW 9J	UF qcf+MK(air) (3+6+10)	19	2(2)2(4)2(4)2(2)2	13	53	3	3	-2						
VT AIR LEG HK LOW 9J	UF qcf+HK(air) (3+5+12)	20	2(4)2(3)2(4)2(2)2(2)2	17	63	0	0	-3						
VT AIR LEG EX LOW 9J	UF qcf+KK(air) (3+4+6)	13	2(2)2(1)2(3)2(1)2(2)2(3)2	24	62	-7	-7	-10						
VT spinning bird kick LK	40d,u+LK	9	2(1)2(3)2(6)2(3)2	24	55	KD	KD	-6			91	32	37	
VT spinning bird kick MK	40d,u+MK	15	2(1)2(4)2(4)2(3)2(6)2(5)2	24	75	KD	KD	-8			91	32	37	
VT spinning bird kick HK	40d,u+HK	19	2(1)2(4)2(4)2(4)2(5)2(3)2(6)2(5)2	24	92	KD	KD	-8			91	32	37	
VT spinning bird kick EX	45d,u+KK	5	7(1)4(1)4(1)2	31	55	KD	KD	-16			76	17	22	
VT hoyokusen	qcf,qcf+K	5	120	35	159									[FRAME 1-6] ALL INV [ACTIVE] 2(3)2(4)2(4)2...
