Move	Command	Startup	Active	Recovery	Total 	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	KD Adv.	KDR Adv.	KDRB Adv.	Note
dragon suplex	LP+LK	5	2	18	24	KD	KD	-			54	5	5	
target down	b+LP+LK	5	2	18	24	KD	KD	-			69	10	10	
air jack	LP+LK(air)	5	2	-		KD	KD	-			84	25	25	
sonic move avoid	f+PPP	16	26	3	44									[FRAME 1-15] HIT PROJ INV [FRAME 16-41] ALL INV [FRAME 42-45] HIT INV
bullet clear	MP+MK	6	8	19	32	2	4	-5						
sonic move hide	HP+HK	4	1	7	11		-	-						
sonic move bliz air	b+HP+HK	4	25	4	32		-	-						[FRAME 12] 8LK FRAME 1
sonic move steel air	f+HP+HK	4	25	4	32		-	-						[FRAME 12] 8LK FRAME 1
stand LP VTC		4	2	6		0	2	-1						
stand MP VTC		6	3	15		8	10	2						
stand HP VTC		8	3	22		13	27	8						
stand LK VTC		4	3	7		0	2	-1						
stand MK VTC		7	3	16		9	11	6						
stand HK VTC		9	4	15		8	10	4						
crouch LP VTC		4	2	7		0	2	-2						
crouch MP VTC		6	3	13		10	12	6						
crouch HP VTC		9	2	17		14	16	10						
crouch LK VTC		4	3	6		1	3	-2						
crouch MK VTC		8	2	15		4	6	0						
crouch HK VTC		8	2	24		KD	KD	2			87	38	43	
f+HP VTC	f+HP	15	3	30		18	KD	8			114	80	80	
step kick VTC	f+HK	14	4	15		10	12	4						
side knee attack VTC	b+MK	5	4	14		10	12	8						
rapid punch VTC	LP > MP	4	2	6		6	6	0						
raptor combination VS VTC	MK > HK > MP+MK	7	3	16		KD	KD	-10			99	40	45	
bullet clear VTC	MP+MK	6	8	19		15	10	8						
sonic boom LP	qcf+LP	15	1	32	47	-2	0	-6						
sonic boom MP	qcf+MP	17	1	30	47	0	2	-4						
sonic boom HP	qcf+HP	22	1	23	45	4	6	-2						
sonic boom EX	qcf+PP	11	1	26	37	4	6	2						
sonic boom EX EX	qcf+PP, P	11	1(10)1	35	57	3	3	2						
sonic boom EX EX LATE	qcf+PP, P	11	1(16)1	35	63	3	3	2						
sonic boom LP VTC	qcf+LP	15	1	32		17	19	13						
sonic boom MP VTC	qcf+MP	17	1	30		17	19	13						
sonic boom HP VTC	qcf+HP	22	1	23		15	17	9						
sonic boom EX VTC	qcf+PP	11	1	26		18	20	16						
sonic boom EX EX VTC	qcf+PP, P	11	1(10)1	35		15	17	16						
sonic scythe LK	qcb+LK	10	3	24	36	KD	KD	-7			85	26	31	
sonic scythe MK	qcb+MK	15	3	22	39	KD	KD	-8			89	30	35	
sonic scythe HK	qcb+HK	17	2(3)3	21	45	KD	KD	-15			101	42	47	
sonic scythe EX	qcb+KK	6	3(3)3(26)7	34	81	KD	KD	-19			86	27	32	
sonic scythe LK VTC	qcb+LK	10	3	24		KD	KD	8			100	41	46	
sonic scythe MK VTC	qcb+MK	15	3	22		KD	KD	3			102	43	48	
sonic scythe HK VTC	qcb+HK	17	2(3)3	21		KD	KD	2			107	48	53	
sonic scythe EX 1 VTC	qcb+KK	6	3(3)3(26)7	34		KD	KD	9			125	66	71	
sonic scythe EX 23 VTC	qcb+KK	6	3(3)3(26)7	34		KD	KD	8			110	51	56	
sonic scythe EX 4 VTC	qcb+KK	6	3(3)3(26)7	34		KD	KD	8			111	52	57	
moonsault slash LK	qcf+LK	37	3	11	50	4	6	1						
moonsault slash MK	qcf+MK	37	3	12	51	4	6	2						
moonsault slash HK	qcf+HK	37	3	14	53	4	6	3						
moonsault slash EX	qcf+KK	39	3(6)3(22)3	10	85	5	5	1						
tragedy assault LP	f,d,df+LP	18	2	23	42	KD	KD	-5			57	8	8	LAND 1F NO MOVE
tragedy assault MP	f,d,df+MP	22	2	26	49	KD	KD	-6			57	8	8	LAND 1F NO MOVE
tragedy assault HP	f,d,df+HP	34	2	28	63	KD	KD	-8			57	8	8	LAND 1F NO MOVE
tragedy assault EX	f,d,df+PP	8	3(17)2	48	77	KD	KD	-23			96	37	37	
tragedy assault EX VTC	f,d,df+PP	8	3(17)2	48		KD	KD	-23			114	55	55	
judegement saber	qcb,qcb+P	10	3	40	52	KD	KD	-31			24	24	24	
health	950													
stun	950													
taunt	61													
