Move	Command	Startup	Active	Recovery	Total 	Hit Advantage	CH hit adv.	Block Advantage	VTC HIT	VTC BLK	 Damage	Stun	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
VT The Disc's Guidance HP	b,f+HP	21	2(1)3	26	52	KD	KD	-4			140	150	H	-	87	28	33	
VT The Disc's Guidance EX	b,f+PP	17	2(12)2(9)2(1)3	31	78	KD	KD	-13			170	200	H	-	82	23	28	
VT Raging Light LP	f,d,df+LP	3	2(3)2	35	44	KD	KD	-24			120	150	H	-	90	31	36	
VT Raging Light MP	f,d,df+MP	5	5(1)3	41	54	KD	KD	-29			130	150	H	-	83	24	29	
VT Raging Light HP	f,d,df+HP	7	8	46	60	KD	KD	-34			140	150	H	-	77	18	23	
VT Raging Light EX	f,d,df+PP	3	10(1)3	42	58	KD	KD	-38			170	200	H	-	83	24	29	
VT Mask of Tlalli LP	hcb+LK	8	2	52	61	KD	KD	-			150	200	T	-	50	1	1	
VT Mask of Tlalli MP	hcb+MK	8	2	52	61	KD	KD	-			160	200	T	-	52	3	3	
VT Mask of Tlalli HP	hcb+HK	8	2	52	61	KD	KD	-			170	200	T	-	57	8	8	
VT Mask of Tlalli EX	hcb+KK	8	2	52	61	KD	KD	-			80	50	T	-	97	38	38	CORNER +93/+34/+34
VT Valiant Rebellion LK	qcf+LK	14	4	19	36	2	4	-3			70	100	H	CA				
VT Valiant Rebellion MK	qcf+MK	19	5	18	41	5	7	-1			80	100	H	CA				
VT Valiant Rebellion HK	qcf+HK	23	6	13	41	KD	KD	2			100	150	H	-	95	46	51	
VT Valiant Rebellion EX	qcf+KK	10	3(23)3	23	61	2	2	-2			60*80	100*100	H	-				
VT soul offering	qcf,qcf+P	7	2	45	53	KD	KD	-25			370	0	H*H	-	70	21	21	
