Move	Command	Startup	Active	Recovery	Total	Total	HIT ADV	CH ADV	BLK ADV	HIT GAP	CH GAP	BLK GAP	HIT DMG	HIT STUN	CH DMG	CH STUN	BLK DMG	NOTE	HIT TYPE	HIT KDR	HIT KDBR	HIT KD	CH TYPE	CH ADV	CH KDR	CH KDBR	CH KD	EX-	EX+	VR-	VT-	HIT EX1	HIT VR1	HIT EX2	HIT VR2	CH EX1	CH VR1	CH EX2	CH VR2	BLK EX1	BLK VR1	BLK EX2	BLK VR2
stand MK HP VS VTC	5MK 5 5HP 5.20 5MPMK 5.25 5VT	5	1<12>(11)1<15>(12)1<15>	30	60		KD	KD	32				197	459	207	479	50		HIT	81	86	140	CH	KD	81	86	140			600		57		102	265	63		106	279	30		51	67
Slide stand LP	qcb+MK 5.21 5LP	42	3	6	50	50	4	6	2				30	70	36	84	0						CH	6								20		12	40	24		15	48	10		6	
Slide stand LK	qcb+MK 5.21 5LK	43	3	9	54	54	0	2	-2				40	70	48	84	0						CH	2								20		12	53	24		15	64	10		6	
Slide stand MP	qcb+MK 5.21 5MP	44	3	13	59	59	4	6	2				60	100	72	120	10						CH	6								30		18	80	36		22	97	15		9	13
Slide stand MK	qcb+MK 5.21 5MK	43	3	14	59	59	3	5	-2				50	100	60	120	8						CH	5								30		18	67	36		22	80	15		9	10
Slide stand HP	qcb+MK 5.21 5HP	46	3	19	67	67	5	8	-2				90	150	108	180	15						CH	8								50		30	121	60	150	36	145	25		15	20
Slide stand HK	qcb+MK 5.21 5HK	49	3	20	71	71	6	23	-2				80	150	96	180	13						CH	23								50		30	107	60	150	36	129	25		15	17
Slide crouch LP	qcb+MK 5.21 2LP	41	2	8	50	50	4	6	1				20	70	24	84	0						CH	6								20		12	26	24		15	32	10		6	
Slide crouch LK	qcb+MK 5.21 2LK	42	2	8	51	51	3	5	1				20	70	24	84	0						CH	5								20		12	26	24		15	32	10		6	
Slide crouch MP	qcb+MK 5.21 2MP	44	3	13	59	59	5	7	2				60	100	72	120	10						CH	7								30		18	80	36		22	97	15		9	13
Slide crouch MK	qcb+MK 5.21 2MK	46	3	15	63	63	3	5	1				50	100	60	120	8						CH	5								30		18	67	36		22	80	15		9	10
Slide crouch HP	qcb+MK 5.21 2HP	45	3	23	70	70	0	2	-3				80	150	96	180	13						CH	2								50		30	107	60		36	129	25		15	17
Slide crouch HK	qcb+MK 5.21 2HK	48	2(22)2	24	97	97	KD	KD	-12				100	150	120	180	17			25	30	84	CH	KD	84	84	84					50		30	134	60	100	36	161	26		16	22
Slide f+MK	qcb+MK 5.21 6MK	61	5	18	83	83	1	3	-6				60	100	72	120	10						CH	3								30		18	80	36		22	97	16		10	13
Slide b+HK	qcb+MK 5.21 4HK	53	3	21	76	76	3	KD	-2				90	150	108	180	15						CH	KD	34	39	93					50		30	121	60	150	36	145	25		15	20
Slide crouch MP HP	qcb+MK 5.21 2MP	44	3	13	59	59	5	5	-2				141	235	153	255	25						CH	5								75		48	190	81		52	206	40		24	33
Slide crouch LK HP	qcb+MK 5.21 2LK	42	2	8	51	51	2	2	-8				101	205	105	219	15						CH	2								65		42	136	69		45	141	35		21	20
Slide crouch LK HK	qcb+MK 5.21 2LK	42	2	8	51	51	KD	KD	-12			2	110	205	114	219	17			25	30	84	CH	KD	25	30	84					65		42	148	69		45	153	36		22	22
Launch LP	qcb+HK 5.33 5LP	49	5(14)	4	71	71																																					
Launch LK	qcb+HK 5.33 5LK	50	5(13)	4	71																																						
Launch LK MK	qcb+HK 5.33 5LK 5 5MK	50	5(13)	4	71		12	12	9				103	160	111	174	12						CH	12								47		30	139	51		33	149	25		15	16
Launch MP	qcb+HK 5.33 5MP	51	6(11)	4	71																																						
Launch MK	qcb+HK 5.33 5MK	52	5(11)	4	71																																						
Launch HP	qcb+HK 5.33 5HP	53	4(11)	4	71																																						
Launch HK	qcb+HK 5.33 5HK	55	5(8)	4	71																																						
Launch d+MK Low	qcb+HK 5.39 2MK	59	1	41	100	100																																					
Launch d+MK Late	qcb+HK 5.61 2MK	75	1	37	112	112																																					
Launch EX d+MK Low	qcb+MKHK 5.35 2MK	49	1	37	86	86																						300															
Launch EX d+MK Late	qcb+MKHK 5.46 2MK	60	1	37	97	97																						300															
Counter LP	qcb+LP	2	11	34	46	46	KD	KD	KD				180	250	180	250	180			49	49	49	CH	KD	49	49	49		20			126		70	242	126		70	242	126		70	242
Counter MP	qcb+MP	2	11	34	46	46	KD	KD	KD				180	250	180	250	180			49	49	49	CH	KD	49	49	49		20			126		70	242	126		70	242	126		70	242
Counter HP	qcb+HP	2	11	34	46	46	KD	KD	KD				180	250	180	250	180			46	46	46	CH	KD	46	46	46		20			132	31	100	242	132	31	100	242	132	31	100	242
Counter LPMP	qcb+LPMP	1	12	29	41	41	KD	KD	KD				240	300	240	300	240			49	49	49	CH	KD	49	49	49	300				6		70	323	6		70	323	6		70	323
Counter LPHP	qcb+LPHP	1	12	29	41	41	KD	KD	KD				240	300	240	300	240			49	49	49	CH	KD	49	49	49	300				6		70	323	6		70	323	6		70	323
Counter MPHP	qcb+MPHP	1	12	29	41	41	KD	KD	KD				240	300	240	300	240			46	46	46	CH	KD	46	46	46	300				12	31	100	323	12	31	100	323	12	31	100	323
Parabellum LP	qcf+LP	9	2(5)2(5)2(5)2	17	48	48	2	2	-4				70	150	73	155	18						CH	2					20			60		24	94	62		26	98	40		12	24
Parabellum MP	qcf+MP	14	2(5)2(5)2(5)2(5)2	21	64	64	4	4	-6				80	150	83	155	21						CH	4					20			70		30	107	72		32	112	45		15	28
Parabellum HP	qcf+HP	18	2(5)2(5)2(5)2(5)2(30)2	31	110	110	KD	KD	-9				100	150	102	155	28			20	25	79	CH	KD	20	25	79		20			80		36	134	82		38	137	50		18	37
Parabellum PP	qcf+PPP	9	2(5)2(5)2(5)2(5)2	22	60	60	KD	KD	-4				100	150	102	150	16			53	58	112	CH	KD	53	58	112	300						42	134			44	137			15	21
Slide Back	qcb+LK	34			34	34																																					
Slide Punch	qcb+LK 5.12 5LPMPHP	31	9	23	62	62	KD	KD	-12				100	150	120	180	25			23	28	82	CH	KD	23	28	82		10			40		18	134	46		22	161	25		9	33
Slide	qcb+MK	46			46	46																																					
Slide Launch	qcb+HK	71			71	71																																					
Slide Back EX	qcb+LKMK	32			32	32																						300															
Slide Punch EX	qcb+LKMK 5.8 5LPMPHP	26	9	18	52	52	KD	KD	-9				160	200	192	240	40			33	38	92	CH	KD	28	33	87	300						18	215			22	259			9	53
Slide EX	qcb+LKHK	38			38	38																						300															
Slide Launch EX	qcb+MKHK	59			59	59																						300															
Parabellum Launch	qcf+PPP qcb+HK	9	2(5)2(5)2(5)2(5)2	22	60		KD	KD	-4				100	150	102	150	16			20	25	79	CH	KD	20	25	79	300						42	134			44	137			15	21
Parabellum Launch EX	qcf+PPP qcb+MKHK	9	2(5)2(5)2(5)2(5)2	22	60		KD	KD	-4				100	150	102	150	16			21	26	80	CH	KD	21	26	80	300						42	134			44	137			15	21
Parabellum Launch Throw	qcf+PPP qcb+HK LPLK	9	2(5)2(5)2(5)2(5)2	22	60		KD	KD	-4				208	330	210	330	16			14	14	63	CH	KD	14	14	63	300				72		90	280	72		92	283			15	21
Parabellum Launch EX Throw	qcf+PPP qcb+MKHK LPLK	9	2(5)2(5)2(5)2(5)2	22	60		KD	KD	-4				208	330	210	330	16			14	14	63	CH	KD	14	14	63	300				72		90	280	72		92	283			15	21
Hailstorm LP	f d f+LP	12	5	25	41	41	KD	KD	-8	31	31		100	200	120	240	13			28	33	87	CH	KD	28	33	87		5			45		24	134	53		30	161	15		6	17
Hailstorm MP	f d f+MP	12	5	28	44	44	KD	KD	-11				50	100	60	120	13			25	30	84	CH	KD	25	30	84		5			25		12	67	29		15	80	15		6	17
Hailstorm HP	f d f+HP	12	5	28	44	44	KD	KD	-11				50	100	60	120	13			25	30	84	CH	KD	25	30	84		5			25		12	67	29		15	80	15		6	17
Hailstorm LPMP	f d f+LPMP	12	5	25	41	41	KD	KD	-8	31	31	17	100	200	120	240	26			25	30	84	CH	KD	25	30	84	300						24	134			30	161			12	35
Hailstorm LPHP	f d f+LPHP	12	5	25	41	41	KD	KD	-8				50	100	60	120	13			25	30	84	CH	KD	25	30	84	300						12	67			15	80			6	17
Hailstorm MPHP	f d f+MPHP	12	5	25	41	41	KD	KD	-8				50	100	60	120	13			25	30	84	CH	KD	25	30	84	300						12	67			15	80			6	17
Hailstorm LP Projectile	f d f+LP	12	5(33)33		82		34	36	31									ADV = HIT STOP + STUN						36					5														
Hailstorm MP Projectile	f d f+MP	12	5(36)33		85		34	36	31									ADV = HIT STOP + STUN						36					5														
Hailstorm HP Projectile	f d f+HP	12	5(25)43		84		34	36	31									ADV = HIT STOP + STUN						36					5														
Hailstorm LPMP Projectile	f d f+LPMP	12	5(18)47		81		29	31	26									ADV = HIT STOP + STUN						31				300															
Hailstorm LPHP Projectile	f d f+LPHP	12	5(18)47		81		29	31	26									ADV = HIT STOP + STUN						31				300															
Hailstorm MPHP Projectile	f d f+MPHP	12	5(18)48		82		29	31	26									ADV = HIT STOP + STUN						31				300															
Critical Art	d f d f+LP	7	3	52	61	61	KD	KD	-37				330	0	340	0	50		HIT	26	26	75	CH	KD	26	26	75	900						20	445			21	458				67
Parabellum PP Combo	Hailstorm LP			25	130		KD	KD	-8			36 30	100	150	102	150	42		HIT	38	43	97	CH	KD	38	43	97	300				5		42	134	5		44	137	25		27	56
Parabellum PP Combo	Hailstorm MP			28	133		KD	KD	-11			36	100	150	102	150	29		HIT	35	40	94	CH	KD	35	40	94	300				5		42	134	5		44	137	15		21	39
Parabellum PP Combo	Slide Back			34	123		KD						100	150					HIT	45	50	104						300						42	134								
Parabellum PP Combo	Slide			46	135		KD						100	150					HIT	33	38	92						300						42	134								
Parabellum PP Combo	Slide stand MP			15	148		KD						154	240				RESET	HIT	12	12	12						300				27		60	207								
Parabellum PP Combo	Slide stand MK			16	148		KD						145	240				RESET	HIT	12	12	12						300				27		60	195								
Parabellum PP Combo	Slide stand HP			21	156		KD						181	285				RESET	HIT	3	3	3						300				45		72	244								
Parabellum PP Combo	Slide crouch MP			14	148		KD						154	240				RESET	HIT	10	10	10						300				27		60	207								
Parabellum PP Combo	Slide crouch MK			17	152		KD						145	240				RESET	HIT	7	7	7						300				27		60	195								
Parabellum PP Combo	Slide crouch HP			25	159		KD						172	285				RESET	HIT	-1	-1	-1						300				45		72	232								
Parabellum PP Combo	Slide crouch HK			25	186		KD						190	285					HIT	25	30	84						300				45		72	256								
Parabellum PP Combo	Slide crouch HK Punch EX			26	189		KD						282	400					HIT	35	40	94						600				22		75	380								
Parabellum PP Combo	Slide crouch HK Parabellum LP			18	185		KD						186	320					HIT	37	42	96						300				56		69	251								
Parabellum PP Combo	Slide crouch HK Parabellum MP			22	201		KD						194	320					HIT	36	41	95						300				64		75	261								
Parabellum PP Combo	Slide crouch HK Hailstorm LP			25	178		KD	KD	-12			89	154	240	156	240	33		HIT	18	23	77	CH	KD	18	23	77	300				27		57	207	27		59	210	26		31	44
Parabellum PP Combo	Slide crouch HK Hailstorm MP			28	181		KD	KD	-12			89	154	240	156	240	33		HIT	15	20	74	CH	KD	15	20	74	300				27		57	207	27		59	210	26		31	44
Parabellum PP Combo	Slide stand LP Corner			6	139		KD						100	150					HIT	29	34	88						300						42	134								
Parabellum PP Combo	Slide stand LK Corner			9	143		KD						100	150					HIT	25	30	84						300						42	134								
Parabellum PP Combo	Slide stand MP Corner			15	148		KD						154	240				RESET	HIT	12	12	12						300				27		60	207								
Parabellum PP Combo	Slide stand MK Corner			14	148		KD						100	150					HIT	20	25	79						300						42	134								
Parabellum PP Combo	Slide stand HP Corner			21	156		KD						181	285				RESET	HIT	3	3	3						300				45		72	244								
Parabellum PP Combo	Slide stand HK Corner			20	160		KD						100	138					HIT	8	13	67						300						42	134								
Parabellum PP Combo	Slide crouch LP Corner			8	139		KD						100	150					HIT	29	34	88						300						42	134								
Parabellum PP Combo	Slide crouch LK Corner			8	140		KD						100	150					HIT	28	33	87						300						42	134								
Parabellum PP Combo	Slide crouch MP Corner			13	148		KD						100	150					HIT	20	25	79						300						42	134								
Parabellum PP Combo	Slide crouch MK Corner			15	152		KD						100	150					HIT	16	21	75						300						42	134								
Parabellum PP Combo	Slide crouch HP Corner			23	159		KD						100	150					HIT	9	14	68						300						42	134								
Parabellum PP Combo	Slide crouch HK Corner			24	186		KD						100	150					HIT	-18	-13	41						300						42	134								
Parabellum PP Combo	Slide f+MK Corner			18	172		KD						100	150					HIT	-4	1	55						300						42	134								
Parabellum PP Combo	Slide b+HK Corner			21	165		KD						100	150					HIT	3	8	62						300						42	134								
Taunt	PPP+KKK	61			61	61																																					
