Move	Command	Command	Command	Startup	Active	Recovery	Total	Total	HIT ADV	CH ADV	BLK ADV	HIT DMG	HIT STUN	CH DMG	CH STUN	BLK DMG	NOTE	HIT TYPE	HIT KDR	HIT KDBR	HIT KD	CH TYPE	CH ADV	CH KDR	CH KDBR	CH KD	EX-	EX+	VR-	VT-	HIT EX1	HIT VR1	HIT EX2	HIT VR2	CH EX1	CH VR1	CH EX2	CH VR2	BLK EX1	BLK VR1	BLK EX2	BLK VR2
jump LP	12. 8LP -> 624 8LP	7LP	ub+LP (4+1+3)	8	5(33)	4	49	49	6	8	3	40	70	48	84	0		HIT				CH	8								20		12	53	24		15	64	10		6	
jump LP	12. 8LP -> 624 8LP	8 5.31 5LP	8 31F 5LP (4+28+3)	35	5<8>(3)	4	46		6	8	3	40	70	48	84	0		HIT				CH	8								20		12	53	24		15	64	10		6	
jump LP	12. 8LP -> 624 8LP	8 5.38 5LP	8 38F 5LP (4+35+3)	42	1<8>	4	46		9	11	6	40	70	48	84	0		HIT				CH	11								20		12	53	24		15	64	10		6	
jump MP	14. 8MP -> 625 8MP	8 5.30 5MP	8 30F 5MP (4+27+7)	38	5<12>	4	46		12	14	9	60	100	72	120	10		HIT				CH	14								30		18	80	36		22	97	15		9	13
jump MP	14. 8MP -> 625 8MP	8 5.34 5MP	8 34F 5MP (4+31+7)	42	1<12>	4	46		12	14	9	60	100	72	120	10		HIT				CH	14								30		18	80	36		22	97	15		9	13
jump HP	16. 8HP -> 626 8HP	8 5.23 5HP	8 23F 5HP (4+20+8)	32	5<15>(6)	4	46		9	11	6	90	150	108	180	15		HIT				CH	11								50		30	121	60		36	145	25		15	20
jump HP	16. 8HP -> 626 8HP	8 5.33 5HP	8 33F 5HP (4+30+8)	42	1<15>	4	46		15	17	12	90	150	108	180	15		HIT				CH	17								50		30	121	60		36	145	25		15	20
jump LK	13. 8LK -> 627 8LK	8 5.26 5LK	8 26F 5LK (4+23+4)	31	8<8>(4)	4	46		5	7	2	40	70	48	84	0		HIT				CH	7								20		12	53	24		15	64	10		6	
jump LK	13. 8LK -> 627 8LK	8 5.37 5LK	8 37F 5LK (4+34+4)	42	1<8>	4	46		9	11	6	40	70	48	84	0		HIT				CH	11								20		12	53	24		15	64	10		6	
jump MK	15. 8MK -> 628 8MK	8 5.30 5MK	8 30F 5MK (4+27+6)	37	5<12>(1)	4	46		11	13	8	70	100	84	120	12		HIT				CH	13								30		18	94	36		22	113	15		9	16
jump MK	15. 8MK -> 628 8MK	8 5.35 5MK	8 35F 5MK (4+32+6)	42	1<12>	4	46		12	14	9	70	100	84	120	12		HIT				CH	14								30		18	94	36		22	113	15		9	16
jump HK	17. 8HK -> 629 8HK	8 5.25 5HK	8 25F 5HK (4+22+7)	33	7<15>(3)	4	46		12	14	9	90	150	108	180	15		HIT				CH	14								50		30	121	60		36	145	25		15	20
jump HK	17. 8HK -> 629 8HK	8 5.34 5HK	8 34F 5HK (4+31+7)	42	1<15>	4	46		15	17	12	90	150	108	180	15		HIT				CH	17								50		30	121	60		36	145	25		15	20
jump MP HP	23. TC_8HP -> 638 TC_8HP	8MP 5.6 5HP	u+MP 6F 5HP (4+1+7)	12	1<12>(9)1<15>(21)	4	47		KD	KD	KD	114	190	126	210	114		HIT	16	21	75	CH	KD	16	21	75					75		48	153	81		52	170	75		48	153
jump 2MP	19. DIVEBOMB -> 673 DIVEBOMB	9 5.14 2MP	uf 14F d+MP (3+12+16)	31	7	24	61	61	KD	KD	KD	70	100	84	120	12		HIT	27	32	86	CH	KD	27	32	86					50		30	94	60		36	113	25		15	16
jump 2MP	19. DIVEBOMB -> 673 DIVEBOMB	9 5.28 2MP	uf 28F d+MP (3+26+16)	45	6	24	74	74	KD	KD	KD	70	100	84	120	12		HIT	28	33	87	CH	KD	28	33	87					50		30	94	60		36	113	25		15	16
Throw	52. THROW_F -> 715 THROW_F	5TT	LP+LK	5	2	18	24	24	KD	KD	KD	131	200	131	200	131	RANGE 0.8500	HIT	3	3	42	CH	KD	3	3	42					100		60	176	100		60	176	100		60	176
Throw Back	53. THROW_B -> 716 THROW_B	4TT	b+LP+LK	5	2	18	24	24	KD	KD	KD	141	200	141	200	141	RANGE 0.8500	HIT	12	12	71	CH	KD	12	12	71					100		60	190	100		60	190	100		60	190
V-Reversal	51. V_REVERSAL -> 890 V_REVERSAL	6KKK	f+KKK	17	2	24	42	42	KD	KD	KD	60	0	64	0	0		HIT	17	17	66	CH	KD	17	17	66			300					80				86				
V-Skill	44. V_SKILL -> 847 V_SKILL_START	5VS	MP+MK	75	1	15	90	90	11	13	4	40	70	48	84	7		HIT				CH	13									100	10	53		110	12	64		75	5	9
V-Skill Hold	44. V_SKILL -> 847 V_SKILL_START	5VS.925	MP+MK 925F	1095			1095	1095	KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72					60		24	107	68		29	129	40		12	26
V-Trigger Above	45. VT_RMK_UP -> 740 VT_RMK_UP	5VT	HP+HK	7			7	7	KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72			600		60		24	107	68		29	129	40		12	26
V-Trigger Above Hold	45. VT_RMK_UP -> 740 VT_RMK_UP	5VT.39	HP+HK 39F	11			11	11	KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72			600		60		24	107	68		29	129	40		12	26
V-Trigger Behind	47. VT_RMK_BACK -> 749 VT_RMK_BACK	4VT	b+HP+HK	7			7		KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72			600		60		24	107	68		29	129	40		12	26
V-Trigger Behind Hold	47. VT_RMK_BACK -> 749 VT_RMK_BACK	4VT.39	b+HP+HK 39F	11			11		KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72			600		60		24	107	68		29	129	40		12	26
V-Trigger Front	49. VT_RMK_FRONT -> 765 VT_RMK_FRONT	6VT	f+HP+HK	7			7		KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72			600		60		24	107	68		29	129	40		12	26
V-Trigger Front Hold	49. VT_RMK_FRONT -> 765 VT_RMK_FRONT	6VT.39	f+HP+HK 39F	11			11		KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72			600		60		24	107	68		29	129	40		12	26
stand LP VTC	0. 5LP -> 600 5LP	5LP 5 5VT	5LP 5 5VT	4	1<8>	11	15		1	3	-1	130	170	156	204	25		HIT				CH	6						600		20		32	175	24		39	210	10		16	33
stand MP VTC	2. 5MP -> 601 5MP	5MP 5 5VT	5MP 5 5VT	5	1<12>	11	16		11	13	1	160	200	192	240	35		HIT				CH	13						600		30		38	215	36		46	259	15		19	47
stand HP VTC	4. 5HP -> 602 5HP	5HP 5 5VT	5HP 5 5VT	7	1<15>	11	18		11	13	6	190	250	228	300	40		HIT				CH	13						600		50		50	256	60		60	307	25		25	53
stand LK VTC	1. 5LK -> 603 5LK	5LK 5 5VT	5LK 5 5VT	4	1<8>	11	15		1	3	0	130	170	156	204	25		HIT				CH	3						600		20		32	175	24		39	210	10		16	33
stand MK VTC	3. 5MK -> 604 5MK	5MK 5 5VT	5MK 5 5VT	8	1<12>	21	29		-1	1	-6	160	200	192	240	35		HIT				CH	1						600		30		38	215	36		46	259	15		19	47
f+MK VTC	3. 5MK -> 604 5MK	6MK 6.16 5 5VT	f+MK f+16F 5 5VT	8	1<12>	21	29		-1	1	-6	160	200	192	240	35		HIT				CH	1						600		30		38	215	36		46	259	15		19	47
stand HK VTC	5. 5HK -> 605 5HK	5HK 5 5VT	5HK 5 5VT	13	1<15>	25	38		-2	KD	-8	190	250	108	180	40		HIT				CH	KD	42	47	123			600		50		50	256	60		36	145	25		25	53
stand HK  Hold 20VTC	5. 5HK -> 605 5HK	5HK.20 5 5VT	5HK 20F 5 5VT	32	1<15>	25	57		-2	KD	-8	190	250	108	180	40		HIT				CH	KD	42	47	123			600		50		50	256	60		36	145	25		25	53
stand HK Hold 21 VTC	5. 5HK -> 605 5HK	5HK.21 5 5VT	5HK 21F 5 5VT	35	1<15>	27	62		-3	51	-5	200	250	200	260	42		HIT				CH	51						600		50		50	269	60		56	269	25		25	56
stand HK Hold 21 b+VTC	5. 5HK -> 605 5HK	5HK.21 5 4VT	5HK 21F 5 4VT	35	1<15>	27	62		-3	19	-5	200	250	240	300	42		HIT				CH	19						600		50		50	269	60		60	323	25		25	56
crouch LP VTC	6. 2LP -> 612 2LP	2LP 5 5VT	2LP 5 5VT	3	1<8>	11	14		-1	1	-3	120	170	144	204	25		HIT				CH	1						600		20		32	161	24		39	194	10		16	33
crouch MP VTC	8. 2MP -> 613 2MP	2MP 5 5VT	2MP 5 5VT	7	1<12>	11	18		9	11	7	160	200	192	240	35		HIT				CH	11						600		30		38	215	36		46	259	15		19	47
crouch HP VTC	10. 2HP -> 614 2HP	2HP 5 5VT	2HP 5 5VT	11	1<15>	11	22		9	11	5	180	250	216	300	38	CROUCH 1F NO MOVE	HIT				CH	11						600		50		50	242	60		60	291	25		25	51
crouch LK VTC	7. 2LK -> 615 2LK	2LK 5 5VT	2LK 5 5VT	4	1<8>	11	15		1	3	-1	120	170	144	204	25		HIT				CH	3						600		20		32	161	24		39	194	10		16	33
crouch MK VTC	9. 2MK -> 616 2MK	2MK 5 5VT	2MK 5 5VT	7	1<12>	11	18		9	11	4	160	200	192	240	35		HIT				CH	11						600		30		38	215	36		46	259	15		19	47
crouch HK VTC	11. 2HK -> 617 2HK	2HK 5 5VT	2HK 5 5VT	12	1<15>	11	23		KD	KD	KD	90	150	188	260	40		HIT	36	41	123	CH	KD	64	69	123			600		50		30	121	60		56	253	25		25	53
crouch HK VTC	11. 2HK -> 617 2HK	2HK 5 4VT	2HK 5 4VT	12	1<15>	11	23		KD	KD	KD	90	150	108	180	40		HIT	36	41	85	CH	KD	85	85	85			600		50		30	121	60		36	145	25		25	53
stand LK MP VTC	18. TC_5MP -> 635 TC_5MP	5LK 5 5MP 5.18 5VT	5LK 5 5MP 18F 5VT	4	1<8>(10)1<12>	11	26		5	5	-1	175	260	201	294	33		HIT				CH	5						600		47		50	236	51		57	271	25		25	44
f+HP b+VTC	22. READYMIKA -> 670 READYMIKA	6HP 5 4VT	f+HP 5 4VT	10	1<15>	11	21		59	69	6	80	150	96	180	38		HIT				CH	69						600		50		30	107	60		36	129	25		25	51
Shooting Peach LP	24. STOOTINPEACH_L -> 900 STOOTINPEACH_L	2 3 6LP	qcf+LP	10	6	25	40	40	KD	KD	-7	80	150	96	180	20		HIT	23	28	72	CH	KD	23	28	72		20			60		24	107	68		29	129	40		12	26
Shooting Peach MP	25. STOOTINPEACH_M -> 901 STOOTINPEACH_M	2 3 6MP	qcf+MP	13	8	25	45	45	KD	KD	-10	90	150	108	180	23		HIT	23	28	82	CH	KD	23	28	82		20			60		24	121	68		29	145	40		12	31
Shooting Peach HP	26. STOOTINPEACH_H -> 902 STOOTINPEACH_H	2 3 6HP	qcf+HP	20	13	17	49	49	KD	KD	-12	100	150	120	180	25		HIT	23	28	82	CH	KD	23	28	82		20			60		24	134	68		29	161	40		12	33
Shooting Peach PP	27. STOOTINPEACH_EX -> 904 STOOTINPEACH_EX_1	2 3 6PPP	qcf+PPP	5	5(13)5	18	45	45	KD	KD	-10	130	200	138	204	20		HIT	19	24	78	CH	KD	19	24	78	300						24	175			25	186			6	26
Wingless Airplane LK	28. WING_L -> 970 WING_L	2 3 6LK	qcf+LK	5	5	43	52	52	KD	KD	KD	131	200	131	200	131		HIT	20	20	69	CH	KD	20	20	69					60		36	176	60		36	176	60		36	176
Wingless Airplane MK	29. WING_M -> 971 WING_M	2 3 6MK	qcf+MK	7	8	40	54	54	KD	KD	KD	131	200	131	200	131		HIT	20	20	69	CH	KD	20	20	69					60		36	176	60		36	176	60		36	176
Wingless Airplane HK	30. WING_H -> 972 WING_H	2 3 6HK	qcf+HK	10	11	37	57	57	KD	KD	KD	131	200	131	200	131		HIT	20	20	69	CH	KD	20	20	69					60		36	176	60		36	176	60		36	176
Wingless Airplane KK	31. WING_EX -> 973 WING_EX	2 3 6KKK	qcf+KKK	5	11	37	52	52	KD	KD	KD	162	200	162	200	162		HIT	20	20	69	CH	KD	20	20	69	300						36	218			36	218			36	218
Rainbow Typhoon LP	32. TYOHOON_L -> 926 TYPHOON_L_MISS	3 2 4LP	hcb+LP	5	2	52	58	58	KD	KD	KD	162	200	162	200	162	RANGE 1.2007-1.2014	HIT	11	11	70	CH	KD	11	11	70		20			120		60	218	120		60	218	120		60	218
Rainbow Typhoon MP	33. TYOHOON_M -> 929 TYPHOON_M_MISS	3 2 4MP	hcb+MP	5	2	52	58		KD	KD	KD	172	200	172	200	172	RANGE 1.1507-1.1514	HIT	11	11	70	CH	KD	11	11	70		20			120		60	232	120		60	232	120		60	232
Rainbow Typhoon HP	34. TYOHOON_H -> 932 TYPHOON_H_MISS	3 2 4HP	hcb+HP	5	2	52	58		KD	KD	KD	182	200	182	200	182	RANGE 1.1007-1.1014	HIT	11	11	70	CH	KD	11	11	70		20			120		60	245	120		60	245	120		60	245
Rainbow Typhoon PP	35. TYOHOON_EX -> 935 TYPHOON__EX_MISS	3 2 4PPP	hcb+PPP	5	2	52	58		KD	KD	KD	222	250	222	250	222	RANGE 1.3096-1.3100	HIT	15	15	15	CH	KD	15	15	15	300						48	299			48	299			48	299
Brimstone LK	36. BRIMSTONE_L -> 945 BRIMSTONE_L_MISS	3 2 4LK	hcb+LK	5	2	52	58	58	KD	KD	KD	121	150	121	150	121	RANGE 1.0007-1.0014	HIT	20	20	69	CH	KD	20	20	69		20			100		48	163	100		48	163	100		48	163
Brimstone MK	37. BRIMSTONE_M -> 947 BRIMSTONE_M_MISS	3 2 4MK	hcb+MK	5	2	52	58		KD	KD	KD	131	150	131	150	131	RANGE 0.9507-0.9514	HIT	20	20	69	CH	KD	20	20	69		20			100		48	176	100		48	176	100		48	176
Brimstone HK	38. BRIMSTONE_H -> 949 BRIMSTONE_H_MISS	3 2 4HK	hcb+HK	5	2	52	58		KD	KD	KD	141	150	141	150	141	RANGE 0.9007-0.9014	HIT	20	20	69	CH	KD	20	20	69		20			100		48	190	100		48	190	100		48	190
Brimstone KK	39. BRIMSTONE_EX -> 952 BRIMSTONE__EX_MISS	3 2 4KKK	hcb+KKK	5	2	52	58		KD	KD	KD	182	200	182	200	182	RANGE 1.1096-1.1200	HIT	21	21	21	CH	KD	21	21	21	300						48	245			48	245			48	245
Critical Art	54. CA -> 1200 CA_MISS	2 4 2 4LP	d f d f+LP	3	2	51	55	55	KD	KD	KD	364	0	364	0	364	RANGE 1.6125-1.6217	HIT	26	26	75	CH	KD	26	26	75	900						100	491			100	491			100	491
Critical Art	54. CA -> 1200 CA_MISS	2 4 2 4LP +X=-7.5	d f d f+LP +X=-7.5	3	2	51	55		KD	KD	KD	364	0	364	0	364	RANGE 1.6125-1.6217	HIT	26	26	75	CH	KD	26	26	75	900						100	491			100	491			100	491
Taunt	56. APPEAL -> 1500 APPEAL_1	5PPPKKK	5PPPKKK	61			61	61																																		
