Move	Command	Startup	Active	Recovery	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	CH Damage	CH Stun	Chip	Total 	Hitstop	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
head butt KD HIGH	f+HP	12	4	14	7	9	2	100	200	120	240	17		15	H	CA	87	26	31	HIT R. MIKA HIGH
head butt KD LOW	f+HP	12	4	14	7	9	2	100	200	120	240	17		15	H	CA	75	15	19	HIT R. MIKA LOW
knee hammer	f+MK	12	4	12	3	5	-3	70	100	84	120	12	27	12	H	-		-	-	
flying body press	d+HP during jump	7	7	-	-	-		100	150	120	180	17		15	M	-		-	-	
atomic drop	LP+LK	5	2	18	KD	KD	-	130	170	130	170	-	24	-	T	-	64	15	15	
captured	b+LP+LK	5	2	18	KD	KD	-	130	170	130	170	-	24	-	T	-	74	25	25	
cyclone lariat	HP+HK	27			KD	KD		20x9	20x8*90	24*20x8	24*20x7*90			3x8*17	H	-				
cyclone lariat	HP+HK	19	19	16	KD	KD		20x9	20x8*90	24*20x8	24*20x7*90		53	3x8*17	H	-				
VT cyclone lariat	HP+HK	9	19	16	KD	KD		20x9	20x8*90	24*20x8	24*20x7*90		43	3x8*17	H	-				
VT cyclone lariat HOLD HIT	HP+HK	27	3(5)3(9)3(6)3(7)2(4)3(5)2(4)3(5)2	26	KD	KD		20x9	20x8*90	24*20x8	24*20x7*90		121	3x8*17	H	-	130	71	76	
cyclone lariat HOLD	HP+HK	19	60	27	KD	KD		20x9	20x8*90	24*20x8	24*20x7*90		105	3x8*17	H	-				
cyclone lariat HOLD HIT	HP+HK	37	3(5)3(9)3(6)3(7)3	27	KD	KD		20x9	20x8*90	24*20x8	24*20x7*90		105	3x8*17	H	-	103	44	49	
iron muscle	MP+MK	25											25		H	-		-	-	[FRAME 1-15] ARMOR
iron muscle HOLD	MP+MK (hold)	58	5	15	2	4	-2	50	100	60	120	8	77	12	H	-		-	-	[FRAME 1-49] ARMOR
muscle explosion	f+KKK	12	2	24	3	3	-2	60	0	72	0	0		0	H					
screw pile driver LP	360+LP	5	2	52	KD	KD	-	180	250	180	250	-	58	-	T	-	71	22	22	
screw pile driver MP	360+MP	5	2	52	KD	KD	-	200	250	200	250	-	58	-	T	-	76	27	27	
screw pile driver HP	360+HP	5	2	52	KD	KD	-	240	250	240	250	-	58	-	T	-	76	27	27	
screw pile driver EX	360+PP	5	2	52	KD	KD	-	240	300	240	300	-	58	-	T	-	76	27	27	
double lariat	PPP	9	6(5)4(8)3	31	KD	KD	-33	100	200	120	240	25	65	17	H	-	76	17	22	KD HIT ACTIVE 1
double lariat	PPP	11	4(5)4(8)3	31	KD	KD	-30	100	200	120	240	25	65	17	H	-	79	20	25	KD HIT ACTIVE 3
siberian express LK	hcb+LK	17	2	52	KD	KD	-	170	250	170	200	-		-	T	-	73	24	24	
siberian express MK	hcb+MK	23	2	52	KD	KD	-	200	250	200	200	-		-	T	-	73	24	24	
siberian express HK	hcb+HK	30	2	52	KD	KD	-	220	250	220	200	-		-	T	-	73	24	24	
siberian express EX	hcb+KK	15	2	52	KD	KD	-	230	250	200	200	-		-	T	-	68	19	19	
borscht dynamite LP	360+LP(air)	3	4		KD	KD	-	50*130	100*150	50*130	100*150	-		-	T	-	72	23	23	
borscht dynamite MP	360+MP(air)	3	4		KD	KD	-	50*150	100*150	50*150	100*150	-		-	T	-	72	23	23	
borscht dynamite HP	360+HP(air)	3	4		KD	KD	-	50*170	100*150	50*170	100*150	-		-	T	-	72	23	23	
borscht dynamite EX	360+PP(air)	3	4		KD	KD	-	50*150	100*150	50*150	100*150	-		-	T	-	76	27	27	
bolshoi russian suplex	720+P	1	2	65	KD	KD	-	50*50*300	0	50*50*300	0	-		-	T	-	60	11	11	
health	1050																			
stun	1050																			
taunt	61			61									61							
jump	49(5+39+5)	44	1	5									49							
jump forward	49(5+39+5)	44	1	5									49							
jump backward	49(5+39+5)	44	1	5									49							
dash forward	25		25										25							
dash backward	25		25										25							
