Move	Command	Startup	Active	Recovery	Total 	Block Advantage	Hit Advantage	CH hit adv.	Damage	Stun	KD Adv.	KDR Adv.	KDRB Adv.	VTC HIT	VTC BLK	INV FRAME	Note
GramTeki > M Gram Koku (Strike)	214+K > 236MK	20	1	30													
GramTeki > H Gram Koku (Strike)	214+K > 236HK	25	1	30													
GramTeki > EX Gram Koku (Strike)	214+K > 236KK	17	1	40													
																	
GramTeki > L Gram Koku (Projectile)	214+K > 236LK	14	8	23													
GramTeki > M Gram Koku (Projectile)	214+K > 236MK	20	9	21													
GramTeki > H Gram Koku (Projectile)	214+K > 236HK	25	10	20													
GramTeki > EX Gram Koku (Projectile)	214+K > 236KK	17	20	20													
																	
L GramTeki > L Gram Koku	214+LK > 236LK	15	14(29)9	23	89	-4	KD	KD			80	21	26				[FRAME 1-44] GRAMTEKI
L GramTeki > M Gram Koku	214+LK > 236MK	15	14(35)10	21	94	-6					58	-1	4				[FRAME 1-44] GRAMTEKI
L GramTeki > H Gram Koku	214+LK > 236HK	15	14(40)11	20	99	-6					53	-6	-1				[FRAME 1-44] GRAMTEKI
L GramTeki > EX Gram Koku	214+LK > 236KK	15	14(32)21	20	101	1	KD	KD			95	36	41				[FRAME 1-44] GRAMTEKI [HATSON] 89/30/35
L GramTeki > L Gram Ban	214+LK > 623LK	15	14(20)12	30	90	-23					62	3	8				[FRAME 1-44] GRAMTEKI
L GramTeki > M Gram Ban	214+LK > 623MK	15	14(22)15	30	95	-29					57	-2	3				[FRAME 1-44] GRAMTEKI
L GramTeki > H Gram Ban	214+LK > 623HK	15	14(22)16	37	103	-33					49	-10	-5				[FRAME 1-44] GRAMTEKI
L GramTeki > EX Gram Ban	214+LK > 623KK	15	14(20)1(1)14	48	112	-26	KD	KD			40	-19	-14				[FRAME 1-44] GRAMTEKI [HATSON] 89/30/35
M GramTeki > L Gram Koku	214+MK > 236LK	23	14(30)9	23	98	-4	KD	KD			83	24	29				[FRAME 1-53] GRAMTEKI
M GramTeki > M Gram Koku	214+MK > 236MK	23	14(36)10	21	103	-6	KD	KD			78	19	24				[FRAME 1-53] GRAMTEKI
M GramTeki > H Gram Koku	214+MK > 236HK	23	14(41)11	20	108	-6					59	0	5				[FRAME 1-53] GRAMTEKI
M GramTeki > EX Gram Koku	214+MK > 236KK	23	14(33)21	20	110	1	KD	KD			98	39	44				[FRAME 1-53] GRAMTEKI
M GramTeki > L Gram Ban	214+MK > 623LK	23	14(21)12	30	99	-23					68	9	14				[FRAME 1-53] GRAMTEKI
M GramTeki > M Gram Ban	214+MK > 623MK	23	14(23)15	30	104	-29					63	4	9				[FRAME 1-53] GRAMTEKI
M GramTeki > H Gram Ban	214+MK > 623HK	23	14(23)16	37	112	-33					55	-4	1				[FRAME 1-53] GRAMTEKI
M GramTeki > EX Gram Ban	214+MK > 623KK	23	14(21)1(1)14	48	121	-26	KD	KD			90	31	36				[FRAME 1-53] GRAMTEKI
H GramTeki > L Gram Koku	214+HK > 236LK	30	14(29)9	23	104	-4	KD	KD			100	41	46				[FRAME 1-59] GRAMTEKI
H GramTeki > M Gram Koku	214+HK > 236MK	30	14(35)10	21	109	-6	KD	KD			81	22	27				[FRAME 1-59] GRAMTEKI
H GramTeki > H Gram Koku	214+HK > 236HK	30	14(40)11	20	114	-6	KD	KD			80	21	26				[FRAME 1-59] GRAMTEKI
H GramTeki > EX Gram Koku	214+HK > 236KK	30	14(32)21	20	116	1	KD	KD			99	40	45				[FRAME 1-59] GRAMTEKI
H GramTeki > L Gram Ban	214+HK > 623LK	30	14(20)12	30	105	-23					75	16	21				[FRAME 1-59] GRAMTEKI
H GramTeki > M Gram Ban	214+HK > 623MK	30	14(22)15	30	110	-29					70	11	16				[FRAME 1-59] GRAMTEKI
H GramTeki > H Gram Ban	214+HK > 623HK	30	14(22)16	37	118	-33					62	3	8				[FRAME 1-59] GRAMTEKI
H GramTeki > EX Gram Ban	214+HK > 623KK	30	14(20)1(1)14	48	127	-26	KD	KD			90	31	36				[FRAME 1-59] GRAMTEKI
EX GramTeki > L Gram Koku	214+KK > 236LK	18	2(1)18(22)9	23	92	-4	KD	KD			83	24	29				[FRAME 1-47] GRAMTEKI
EX GramTeki > M Gram Koku	214+KK > 236MK	18	2(1)18(28)10	21	97	-6	KD	KD			79	20	25				[FRAME 1-47] GRAMTEKI
EX GramTeki > H Gram Koku	214+KK > 236HK	18	2(1)18(33)11	20	102	-6	KD	KD			79	20	25				[FRAME 1-47] GRAMTEKI
EX GramTeki > EX Gram Koku	214+KK > 236KK	18	2(1)18(25)21	20	104	1	KD	KD			98	39	44				[FRAME 1-47] GRAMTEKI
EX GramTeki > L Gram Ban	214+KK > 623LK	18	2(1)18(13)12	30	93	-41					69	10	15				[FRAME 1-47] GRAMTEKI
EX GramTeki > M Gram Ban	214+KK > 623MK	18	2(1)18(15)15	30	98	-46					64	5	10				[FRAME 1-47] GRAMTEKI
EX GramTeki > H Gram Ban	214+KK > 623HK	18	2(1)18(15)16	37	106	-54					56	-3	2				[FRAME 1-47] GRAMTEKI
EX GramTeki > EX Gram Ban	214+KK > 623KK	18	2(1)18(13)1(1)14	48	115	-24	KD	KD			89	30	35				[FRAME 1-47] GRAMTEKI
																	
																	
																	
																	
																	
																	
																	
L Bushin Jakura	236+LP	30	15	14	58												
M Bushin Jakura	236+MP	30	15	12	56												
H Bushin Jakura	236+HP	30	15	12	56												
EX Bushin Jakura	236+PP	25	21	8	53												
																	
L Bushin Gekirinchu (Cancel)	236+LP > P	9	12	15													
M Bushin Gekirinchu (Cancel)	236+MP > P	9	10	15													
H Bushin Gekirinchu (Cancel)	236+HP > P	9	10	15													
EX Bushin Gekirinchu (Cancel)	236+PP > P	9	14	9													
																	
L Bushin Gekirinchu	236+LP > P	38	12	15	64												
M Bushin Gekirinchu	236+MP > P	38	10	15	62												
H Bushin Gekirinchu	236+HP > P	38	10	15	62												
EX Bushin Gekirinchu	236+PP > P	33	14	9	55												
																	
L Bushin Kirinkyaku	236+P > K	35	5	25	64												
M Bushin Kirinkyaku	236+P > K	35	5	23	62												
H Bushin Kirinkyaku	236+P > K	35	5	23	62												
EX Bushin Kirinkyaku	236+P > K	30	5	21	55												
																	
L Bushin Tengen	236+P > LP+LK	34	2	31	66		KD	KD			19	19	19				HARD KNOCKDOWN
M Bushin Tengen	236+P > LP+LK	34	2	29	64		KD	KD			19	19	19				HARD KNOCKDOWN
H Bushin Tengen	236+P > LP+LK	34	2	29	64		KD	KD			19	19	19				HARD KNOCKDOWN
EX Bushin Tengen	236+P > LP+LK	29	2	33	63		KD	KD			19	19	19				HARD KNOCKDOWN
																	
Shukumyo	22+PP	25		0	25												
																	
Batsuzan Gaisei	236+236+K	4	8	47	58	-33	KD	KD			16	16	16			FRAME 1-11	HARD KNOCKDOWN
																	
																	
																	
YZ dash forward		1	17	0	17												
YZ dash backwards		1	22	0	22												
YZ jump	8 (4+38+4)	42	1	4	46												
YZ jump forward	9 (3+38+4)	41	1	4	45												
YZ jump backwards	7 (4+38+4)	42	1	4	46												
																	
YZ STAND LP	5LP	4	2	9	14	2	3	5						2	1		RUN STOP: 0/-4 |  EX RUN STOP: +2/-2
YZ STAND LP Chain	5LP > 5LP	4	2(6)2	9	22	2	3	5						2	1		
YZ STAND LP Chain	5LP > 2LP	4	2(7)2	8	22	2	3	5						2	1		
YZ STAND MP	5MP	5	2	16	22	2	8	10						14	8		
YZ STAND HP Whiff	5HP	12	2	25	38	-2	2	4						12	8		5 FRAME EXTRA RECOVERY ON WHIFF
YZ STAND HP Hit/Block	5HP	12	2	20	33	-2	2	4						12	8		RUN STOP: 0/-4 |  EX RUN STOP: +2/-2
YZ STAND LK	5LK	4	4	7	14	3	4	6						3	2		RUN STOP: -9/-10 |  EX RUN STOP: -7/-8
YZ STAND MK	5MK	7	3	17	26	-3	2	4						10	5		
YZ STAND HK Whiff	5HK	12	4	24	39	-2	3	5						14	9		5 FRAME EXTRA RECOVERY ON WHIFF
YZ STAND HK Hit/Block	5HK	12	4	19	34	-2	3	5						14	9		[FRAME 9-19] HOP OVER LOW ATTACKS
YZ STAND HK Hit Crouching	5HK	14	2	19	34	0	5	7						14	9		VS STANDARD SIZE CROUCHING TARGET
YZ CROUCH LP	2LP	3	2	8	12	2	4	6						1	-1		RUN STOP: -10/-12 |  EX RUN STOP: -8/-10
YZ CROUCH MP	2MP	6	3	14	22	1	5	7						10	6		RUN STOP: -2/-6 |  EX RUN STOP: 0/-4
YZ CROUCH HP Whiff	2HP	10	3	25	37	-5	1	21						12	6		5 FRAME EXTRA RECOVERY ON WHIFF
YZ CROUCH HP Hit/Block	2HP	10	3	20	32	-5	1	21						12	6		
YZ CROUCH LK	2LK	5	2	8	14	2	3	5						1	0		
YZ CROUCH MK	2MK	7	3	16	25	-3	2	4						9	4		
YZ CROUCH HK Hit 10-16	2HK	10	7	20	40	-13	KD	KD			66	17	22	KD (+95/36/41)	6		
YZ CROUCH HK Hit 17-20	2HK	17	4	20	40	-10	3	14~15 PLS TEST LOL						15	2		
YZ JUMP LP	8LP	5	6														
YZ JUMP MP	8MP	8	2														
YZ JUMP HP	8HP	8	2														
YZ JUMP LK	8LK	5	6														
YZ JUMP MK	8MK	7	4														
YZ JUMP HK	8HK	8	4														
																	
YZ Kubi Kudaki	6HP	22	1(0)1	22	45	-6	1	1									
YZ Kaeshi Saiha	5HP > 5HP	10	2	25		-8	KD	KD			88	29	34				
YZ Kagerou	5HP > 5HP > MP+MK	14	2	31		-7	KD	KD			81	22	27	KD (+103/44/49)	7		
YZ Kaeshi Urasaiha	2HP > 2HP	9	1	28		-8	KD	KD			86	27	32				
YZ Urakagerou	2HP > 2HP > MP+MK	14	2	31		-7	KD	KD			81	22	27	KD (+103/44/49)	7		
YZ Bushin Soukosou	5MP > 5HP	13	2	24		-6	-2							12	8		RUN STOP: 0 |  EX RUN STOP: +2
YZ Bushin Gokusanken - Ni	5LP > 5MP	5	3	22		-7	-3										
YZ Bushin Gokusanken - San	5LP > 5MP > 5HP	11	4	30		-11	KD	KD			85	26	31				
YZ Bushin Gokusanken - Shu	5LP > 5MP > 5HP > 5HK	16	7	27		-13	KD	KD			82	23	28				
YZ Bushin Gokusanage	5LP > 5MP > 5HP > 2HK	7	2	29			KD	KD			64	15	15				
YZ Sankaku Tobi	NEAR WALL 8 > 6																
YZ Hassou Tobi	NEAR WALL 8 > 6 >P																
YZ Bushin Shidenkyaku	NEAR WALL 8 > 6 >K	27		4													4 LANDING RECOVERY FRAMES
																	
YZ Tesso	6LP+LK	5	2	18	24		KD	KD			61	12	12				
YZ Raiju	4LP+LK	5	2	18	24		KD	KD			63	14	14				
																	
YZ V-Skill	MP+MK	14	2	31	46		KD	KD			79	20	25				
YZ V-Skill HOLD Forward	MP+MK > 6	14	2	31	46		KD	KD			79	20	25				
YZ V-reversal	6+PPP	17	2	24	42	-2	KD	KD			85	26	31				[FRAME 1-21] HIT INV
YZ V-Trigger	HP+HK	6		0	6												
YZ V-Trigger cancel version	HP+HK																
YZ Idaten	HP+HK	25		0	25											FRAME 6-15	[FRAME 16-17] PROJ INV
YZ Bushin Seiryukyaku	HP+HK > HP+HK	21	5	21	46	-2	KD	KD			80	21	26				[FRAME 1-7] DASH
YZ Idaten St.LP	HP+HK > 5LP	11	2	11	23	-1	1	3									[FRAME 1-7] DASH
YZ Idaten St.MP	HP+HK > 5MP	12	2	21	34	-3	1	3									[FRAME 1-7] DASH
YZ Idaten St.HP	HP+HK > 5HP	19	2	26	46	-8	-4	-2									[FRAME 1-7] DASH
YZ Idaten St.LK	HP+HK > 5LK	12	4	9	24	0	1	3									[FRAME 1-7] DASH
YZ Idaten St.MK	HP+HK > 5MK	15	4	23	41	-8	-3	-1									[FRAME 1-7] DASH
YZ Idaten St.HK	HP+HK > 5HK	19	4	25	47	-8	-3	-1									[FRAME 1-7] DASH
YZ Idaten Cr.LP	HP+HK > 2LP	10	2	10	21	0	2	4									[FRAME 1-7] DASH
YZ Idaten Cr.MP	HP+HK > 2MP	13	3	19	34	-4	-2	0									[FRAME 1-7] DASH
YZ Idaten Cr. HP	HP+HK > 2HP	17	4	26	46	-9	-5	-3									[FRAME 1-7] DASH
YZ Idaten Cr. LK	HP+HK > 2LK	12	2	10	23	0	1	3									[FRAME 1-7] DASH
YZ Idaten Cr. MK	HP+HK > 2MK	15	3	21	38	-8	-4	-2									[FRAME 1-7] DASH
YZ Idaten Cr. HK	HP+HK > 2HK	17	11	26	53	-18	KD	KD			60	11	16				[FRAME 1-7] DASH
																	
YZ L Bushin Sho	236+LP	12	6	20	37	-4	KD	KD			83	24	29				ALL PALMS NULLIFY 1 HIT OF PROJECTILE
YZ M Bushin Sho	236+MP	18	6	16	39	-2	KD	KD			87	28	33				2 HITS BUT ALWAYS -2 ON BLOCK
YZ H Bushin Sho	236+HP	24	6	15	44	2	KD	KD			88	29	34				3 HITS BUT ALWAYS +2 ON BLOCK
YZ EX Bushin Sho	236+PP	23	6	20	48	2	KD	KD			83	51	51				CRUMPLE ON HIT
																	
YZ L Hozanto Hit/Block	214+LP	12	6	12	29	-6	KD	KD			107	48	53				[FRAME 1-17] INVINC VS AIRBORNE STRIKES
YZ L Hozanto Whiff	214+LP	12	6	22	39	-6	KD	KD			107	48	53				[FRAME 1-17] INVINC VS AIRBORNE STRIKES
YZ M Hozanto	214+MP	22	6	13	40	-6	KD	KD			108	49	54				[FRAME 8-27] UPPER BODY PROJ INVINC
YZ H Hozanto	214+HP	27	5	14	45	-6	KD	KD			108	49	54				[FRAME 7-31] UPPER BODY PROJ INVINC
YZ EX Hozanto	214+PP	16	4	14	33	-6	KD	KD			109	50	55				[FRAME 7-19] UPPER BODY PROJ INVINC
																	
YZ L Bushin Sangoku Otoshi	8 or 9 > 236+LP	4	2				KD	KD			16	16	16				HARD KNOCKDOWN | 6 FRAME LANDING RECOVERY
YZ M Bushin Sangoku Otoshi	8 or 9 > 236+MP	4	2				KD	KD			16	16	16				HARD KNOCKDOWN | 6 FRAME LANDING RECOVERY
YZ H Bushin Sangoku Otoshi	8 or 9 > 236+HP	4	2				KD	KD			16	16	16				HARD KNOCKDOWN | 6 FRAME LANDING RECOVERY
YZ EX Bushin Sangoku Otoshi	8 or 9 > 236+PP	4	2				KD	KD			16	16	16				HARD KNOCKDOWN | STRIKE HITBOX | 6 FRAME LANDING RECOVERY
																	
YZ Hayagake	236+K	69		0	69												[FRAME 8-49] CANCEL INTO FOLLOW-UP
YZ Tozetsu	236+K > LK	23		0	23												
YZ Ashikari	236+K > MK	17	9	27	52	-21	KD	KD			61	12	17				[FRAME 17-28] UPPER BODY PROJ INVINC
YZ Gekkou	236+K > HK	30	2(0)2	24	57	-5	KD	KD			71	22	27				
YZ EX Hayagake	236+KK	41		0	41											FRAME 9-21	[FRAME 9-21] CANCEL INTO FOLLOW-UP
YZ EX Tozetsu	236+KK > LK	21		0	21											FRAME 9-12	
YZ EX Ashikari	236+KK > MK	18	9	27	53	-21	KD	KD			61	12	17			FRAME 9-12	[FRAME 18-29] UPPER BODY PROJ INVINC
YZ EX Gekkou	236+KK > HK	31	2(0)2	24	58	-2	KD	KD			71	22	27			FRAME 9-12	
																	
YZ Shukumyo	22+PP	25		0	25												
																	
YZ Batsuzan Gaisei	236,236+K	4	8	47	58	-33	KD	KD			16	16	16			FRAME 1-11	HARD KNOCKDOWN
																	
