Move	Command	Startup	Active	Recovery	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	Total 	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
flap spin	f+MP	8	2(15)3	14	2	4	-2	50*20	70*30	41	H*H	SP,V	-	-	-	
beak assault	f+HP	23	2	18	0	2	-6	80	150	42	M	-	-	-	-	
spinning mixer	f+P during run	8			1	1	-2	20x4*9	20x5		H	CA	-	-	-	
spinning mixer	f+P during run (mash)	8			KD	KD	-11	140	204		H	-	79	20	25	
eagle spike	f+K during run	13	8	23	KD	KD	-21	140	200		H	-	71	12	17	
wall jump	uf or df during jump near wall						-					-	-	-	-	
riding glider	LP+LK	5	2	18	KD	KD	-	50*80	0*170	24	T	-	75	16	16	
rising sun	b+LP+LK	5	2	18	KD	KD	-	50*80	0*200		T	-	69	20	20	
ysaar	HP+HK	16	1	10	KD	KD	32	40x3	50x3	26	H*H*H	-	150	91	96	[FRAME 1] ALL INV
front flip	MP+MK	1	55			-	-			55	-	-	-	-	-	
airborne eagle spike	MP+MK > K	34	3	20	KD	KD	-24	130	200	56	H	-	70	11	16	
rolling assault	d+MP+MK	1	32			-	-			32	-	-	-	-	-	
nail assault	d+MP+MK > K	22	5	21	KD	KD	-6	80	100	47	H	-	101	42	47	
sliding roll	f+PPP	1	25	8						33			-	-	-	[FRAME 1-25] HIT PROJ INV
spinning mixer LP	qcf+LP	8	2(2)2	21	0	0	-2	20x3	20x3	34	H	CA	-	-	-	
spinning mixer LP	qcf+LP (mash)	8	2(2)2(3)1(4)1(3)1(4)1	29	KD	KD	-10	80	128	60	H	-	80	21	26	
spinning mixer MP	qcf+MP	8	2(2)1(3)1(4)1	33	KD	KD	-31	15*15*12*12*8	20x5	54	H	CA	99	40	45	[FAR KD ADV] +98/+39/+44
spinning mixer MP	qcf+MP (mash)	8	2(2)1(3)1(4)1	33	KD	KD	-31	100	168	54	H	-	94	35	40	[FAR KD ADV] +93/+34/+39
spinning mixer HP	qcf+HP	5	3(3)2(2)2	42	KD	KD	-36	20*20*17*17	20x4	58	H	-	81	22	27	
spinning mixer HP	qcf+HP (mash)	5	3(3)2(2)2(2)3(2)2(2)3(2)3	51	KD	KD	-64	130	148	86	H	-	80	21	26	
spinning mixer EX	qcf+PP	8	2(2)1(3)1(4)1	41	KD	KD	-39	25*20*13*13*12	30*25*19*19*15	62	H	-	87	28	33	
spinning mixer EX	qcf+PP (mash)	8	2(2)1(3)1(4)1	41	KD	KD	-39	150	200	62	H	-	87	28	33	
eagle spike LK	qcb+LK	15	8	17	KD	KD	-20	100	200	39	H	-	69	10	15	
eagle spike MK	qcb+MK	21	9	20	KD	KD	-20	120	200	49	H	-	69	10	15	
eagle spike HK	qcb+HK	22	16	26	KD	KD	-20	140	200	63	H	-	69	10	15	
eagle spike EX	qcb+KK	19	6	24	KD	KD	-9	100	150	48	H	-	105	46	51	
airborne eagle spike LK	qcb+LK(air)	18	-	-	KD	KD	-	130	200		H	-	-	-	-	
airborne eagle spike MK	qcb+MK(air)	20	-	-	KD	KD	-	130	200		H	-	-	-	-	
airborne eagle spike HK	qcb+HK(air)	22	-	-	KD	KD	-	130	200		H	-	-	-	-	
airborne eagle spike EX	qcb+KK(air)	16	-	-	KD	KD	-	80*80	100*100		H	-	-	-	-	
whirlwind shot LK	qcf+LK	17	1	35	-2	0	-5	60	100	52	H	CA	-	-	-	
whirlwind shot MK	qcf+MK	23	1	37	1	1	-2	35*35	70*70	60	H	CA	-	-	-	
whirlwind shot HK	qcf+HK	34	1	36	4	4	1	35*35	70*70	70	H	CA	-	-	-	
whirlwind shot EX	qcf+KK	23	1	38	9	9	6	30*30*30	60*60*60	61	H	-	-	-	-	
altair	qcf,qcf+P	8	30	43	KD	KD	-51	330	0	80	H	-	71	12	12	
health	950															
stun	1000															
taunt	61									61						
jump	46 (4+38+4)	42	1	4						46						EARLY WHIFF 47
jump forward	45 (3+38+4)	41	1	4						45						EARLY WHIFF 46
jump backward	46 (4+38+4)	42	1	4						46						EARLY WHIFF 47
dash forward	15		15							15						
dash backward	24		24							24						
