Move	Command	Startup	Active	Recovery	Total	Hit Advantage	CH hit adv.	Block Advantage	Damage	Stun	VTC Hit Adv	VTC Blk Adv	VSRC HIT ADV	Chip	VTC CH hit adv.	KD Adv.	KDR Adv.	KDRB Adv.	Note
Ryodansatsu HK	qcb+HK	25	3	24	51	KD		-6			KD	9				83	24	29	[FRAME 5-23] AIR
Ryodansatsu EX	qcb+KK	25	3	20	47	KD		-2			KD	7				101	42	47	[FRAME 5-23] AIR [FRAME 5-27] PROJ INV
Ryodansatsu LK VTC	qcb+LK	19	3	24	-	KD		9								98	39	44	[FRAME 5-18] AIR
Ryodansatsu MK VTC	qcb+MK	20	3	24	-	KD		9								98	39	44	[FRAME 5-19] AIR
Ryodansatsu HK VTC	qcb+HK	25	3	24	-	KD		9								98	39	44	[FRAME 5-23] AIR
Ryodansatsu EX VTC	qcb+KK	25	3	20		KD		7								110	51	56	[FRAME 5-23] AIR [FRAME 5-27] PROJ INV
CA	qcb,qcb+K	9	1	58	67	KD		-15								82	23	28	[FRAME 1-8] ALL INV [FRAME 9-28] PROJ ACTIVE 20F
214KK DP LK																92	33	38	
214KK DP MK/HK CORNER																90	31	36	
health	950																		
stun	950																		
taunt	61				61														
jump	46(4+38+4)	42	1	4	46														EARLY WHIFF 47 [S2] CHANGE
jump forward	45(3+38+4)	41	1	4	45														EARLY WHIFF 48
jump backwards	46(4+38+4)	42	1	4	46														EARLY WHIFF 49
dash forward	16		16		16														
dash backwards	24		24		24														
